i	NP	i
hated	VBD	hate
much	RB	much
remember	VB	remember
vividly	RB	vividly
not	RB	not
funny	JJ	funny
any	DT	any
relies	VBZ	rely
unfunny	JJ	unfunny
sex	NN	sex
jokes	VBZ	joke
racism	NN	racism
humor	NN	humor
does	VBZ	do
not	RB	not
deserve	VB	deserve
money	NN	money
costs	NNS	cost
make	VBP	make
half	DT	half
hour	NN	hour
rob	VB	rob
schneider	NN	<unknown>
drinks	NNS	drink
carton	NN	carton
rancid	JJ	rancid
milk	NN	milk
all	RB	all
think	VB	think
"	''	"
he	PP	he
deserves	VBZ	deserve
making	VBG	make
bad	JJ	bad
movie	NN	movie
"	''	"
do	VBP	do
n't	RB	n't
waste	VB	waste
time	NN	time
money	NN	money
