i	NP	i
always	RB	always
enjoy	VBP	enjoy
shows	NNS	show
up	IN	up
tv	NN	tv
scene	NN	scene
always	RB	always
stands	VBZ	stand
is	VBZ	be
myrna	NN	<unknown>
loy	NN	<unknown>
painters	NNS	painter
foreman	NN	foreman
gives	VBZ	give
very	RB	very
explicit	JJ	explicit
instructions	NNS	instruction
colours	NNS	colour
as	IN	as
soon	RB	soon
as	RB	as
goes	VBZ	go
away	RP	away
turns	NNS	turn
guys	NNS	guy
says	VBZ	say
"	``	"
did	VBD	do
that	IN	that
's	POS	's
yellow	JJ	yellow
blue	JJ	blue
green	JJ	green
white	NN	white
"	''	"
