my	PP$	my
guess	NN	guess
director	NN	director
writer	NN	writer
say	VBP	say
let	NN	let
's	POS	's
frog	NN	frog
storms	VBZ	storm
creepy	JJ	creepy
b	NN	b
like	IN	like
tom	NN	tom
cruise	NN	cruise
say	VBP	say
"	``	"
c	NN	c
"	''	"
word	NN	word
many	JJ	many
times	NNS	time
look	VBP	look
like	IN	like
bad	JJ	bad
patrick	JJ	<unknown>
rafter	NN	rafter
c	SYM	c
cast	NN	cast
wife	NN	wife
say	VBP	say
"	``	"
f	NN	f
"	''	"
word	NN	word
2	CD	2
seconds	NNS	second
aside	RB	aside
really	RB	really
liked	VBD	like
beginning	VBG	begin
frog	NN	frog
storm	NN	storm
rest	NN	rest
relentless	JJ	relentless
long	RB	long
under	IN	under
edited	VBN	edit
indulgent	JJ	indulgent
failure	NN	failure
glad	JJ	glad
many	JJ	many
enjoyed	VBN	enjoy
