what	WP	what
franco	NN	<unknown>
zeffirelli	NNS	<unknown>
thinking	VBG	think
hollywood	JJ	<unknown>
responsible	JJ	responsible
travesty	NN	travesty
comfort	NN	comfort
idea	NN	idea
did	VBD	do
n't	RB	n't
speak	VB	speak
english	JJ	English
as	IN	as
language	NN	language
just	RB	just
completely	RB	completely
missed	VBN	miss
point	NN	point
charlotte	NN	charlotte
bronte	NN	Bronte
's	POS	's
classic	JJ	classic
do	VBP	do
n't	RB	n't
think	VB	think
improve	VB	improve
comment	NN	comment
read	VBP	read
i	NP	i
'll	MD	will
just	RB	just
paraphrase	VB	paraphrase
"	``	"
jane	NN	jane
eyre	NN	eyre
great	JJ	great
great	JJ	great
book	NN	book
screenwriter	NN	screenwriter
read	VBN	read
"	``	"
it	PP	it
's	VBZ	be
true	JJ	true
movie	NN	movie
's	POS	's
leads	NNS	lead
sadly	RB	sadly
miscast	VBN	miscast
but	CC	but
pity	NN	pity
actors	NNS	actor
screenwriter	NN	screenwriter
left	VBD	leave
all	DT	all
best	JJS	good
scenes	NNS	scene
dialog	NN	dialog
makes	VBZ	make
understand	VB	understand
jane	NN	jane
rochester	NN	<unknown>
meeting	NN	meeting
minds	NNS	mind
shared	VBD	share
sense	NN	sense
fun	NN	fun
deleted	VBN	delete
script	NN	script
marriage	NN	marriage
proposal	NN	proposal
fortune	NN	fortune
teller	NN	teller
gone	VBN	go
allusions	NNS	allusion
half	DT	half
joking	VBG	joke
half	NN	half
sincerely	RB	sincerely
felt	VBD	feel
jane	NN	jane
as	IN	as
fairy	JJ	fairy
sprite	NN	sprite
olde	NN	<unknown>
england	NN	<unknown>
come	VBN	come
rescue	NN	rescue
rochester	NN	<unknown>
despair	NN	despair
eliminated	VBD	eliminate
unfortunate	JJ	unfortunate
zeffirelli	NNS	<unknown>
felt	VBN	feel
need	VBP	need
completely	RB	completely
rewrite	VB	rewrite
end	NN	end
novel	NN	novel
jane	NN	jane
's	POS	's
interactions	NNS	interaction
rivers	NNS	river
family	NN	family
but	CC	but
unforgivable	JJ	unforgivable
surgically	RB	surgically
removed	VBN	remove
love	VBP	love
best	JJS	good
love	NN	love
stories	NNS	storey
written	VBN	write
favor	VBP	favor
1983	CD	@card@
mini	JJ	mini
series	NN	series
timothy	NN	timothy
dalton	NN	dalton
