i	NP	i
rented	VBD	rent
son	NN	son
recently	RB	recently
interest	NN	interest
9	CD	9
11	CD	@card@
kindergartener	NN	kindergartener
time	NN	time
no	DT	no
idea	NN	idea
unfolding	VBG	unfold
liked	VBN	like
way	NN	way
told	VBD	tell
as	IN	as
"	``	"
documentary	NN	documentary
"	''	"
recommend	VBP	recommend
concerning	VBG	concern
9	CD	9
11	CD	@card@
normally	RB	normally
actors	NNS	actor
well	RB	well
known	VBN	know
nobody	NN	nobody
known	VBN	know
concerning	IN	concerning
9	CD	9
11	CD	@card@
hear	VBP	hear
fighter	NN	fighter
losing	VBG	lose
lives	NNS	life
saving	VBG	save
people	NNS	people
did	VBD	do
n't	RB	n't
feel	VB	feel
any	DT	any
rented	VBD	rent
definitely	RB	definitely
consider	VB	consider
adding	VBG	add
collection	NN	collection
very	RB	very
well	RB	well
heart	NN	heart
goes	VBZ	go
survivors	NNS	survivor
families	NNS	family
victims	NNS	victim
9	CD	9
11	CD	@card@
