this	DT	this
worst	JJS	bad
seen	VBN	see
seen	VBN	see
quite	RB	quite
few	JJ	few
passed	VBN	pass
as	IN	as
art	NN	art
film	NN	film
but	CC	but
really	RB	really
piece	NN	piece
trash	NN	trash
it	PP	it
's	VBZ	be
redeeming	VBG	redeem
quality	JJ	quality
beautiful	JJ	beautiful
tango	NN	tango
dancing	NN	dancing
but	CC	but
cannot	MD	can
make	VB	make
up	RP	up
sally	NN	sally
potter	NN	potter
's	VBZ	be
disgustingly	RB	disgustingly
obvious	JJ	obvious
tribute	NN	tribute
herself	PP	herself
plot	VBP	plot
nonexistent	JJ	nonexistent
guarantee	NN	guarantee
start	NN	start
laughing	VBG	laugh
end	NN	end
especially	RB	especially
starts	VBZ	start
singing	VBG	sing
it	PP	it
's	VBZ	be
absolutely	RB	absolutely
unreal	JJ	unreal
