this	DT	this
reminded	VBN	remind
spinal	NN	spinal
tap	VB	tap
more	RBR	more
serious	JJ	serious
level	NN	level
it	PP	it
's	VBZ	be
story	NN	story
band	NN	band
doing	VBG	do
reunion	NN	reunion
tour	NN	tour
but	CC	but
things	NNS	thing
not	RB	not
harmonious	JJ	harmonious
especially	RB	especially
impressed	JJ	impressed
performance	NN	performance
nighy	NN	<unknown>
as	IN	as
ray	NN	ray
felt	VBD	feel
sorry	RB	sorry
yet	RB	yet
certain	JJ	certain
creepiness	NN	creepiness
it	PP	it
's	VBZ	be
great	JJ	great
watch	NN	watch
seen	VBN	see
favorite	JJ	favorite
band	NN	band
wrinkly	JJ	wrinkly
old	JJ	old
pathetic	JJ	pathetic
bittersweet	NN	bittersweet
highly	RB	highly
recommended	VBD	recommend
