this	DT	this
probably	RB	probably
most	RBS	most
boring	JJ	boring
worse	JJR	bad
useless	JJ	useless
film	NN	film
seen	VBN	see
year	NN	year
plot	NN	plot
meant	VBD	mean
philosophical	JJ	philosophical
aspects	NNS	aspect
emerged	VBD	emerge
as	RB	as
very	RB	very
bad	JJ	bad
hollow	JJ	hollow
copy	NN	copy
matrix	NN	matrix
plenty	NN	plenty
clichs	NNS	<unknown>
lone	JJ	lone
wolf	NN	wolf
cop	NN	cop
good	JJ	good
looking	VBG	look
psychologically	RB	psychologically
disturbed	JJ	disturbed
sleeping	VBG	sleep
gun	NN	gun
+	SYM	+
nice	JJ	nice
hard	JJ	hard
worker	NN	worker
shy	NN	shy
but	CC	but
good	JJ	good
looking	VBG	look
scientist	NN	scientist
add	VBP	add
2	CD	2
cent	NN	cent
plot	NN	plot
robot	NN	robot
terribly	RB	terribly
disturbed	VBN	disturb
obvious	JJ	obvious
advertising	NN	advertising
brands	NNS	brand
like	IN	like
fedex	JJ	<unknown>
audi	NN	<unknown>
converse	NN	converse
stinks	NNS	stink
commercialization	NN	commercialization
tend	VBP	tend
more	RBR	more
poor	JJ	poor
ad	NN	ad
spot	NN	spot
unfortunately	RB	unfortunately
not	RB	not
end	VB	end
30	CD	@card@
sec	NN	sec
would	MD	would
n't	RB	n't
recommend	VB	recommend
worse	JJR	bad
enemy	NN	enemy
spare	JJ	spare
time	NN	time
watch	NN	watch
good	JJ	good
tv	NN	tv
program	NN	program
instead	RB	instead
better	RBR	well
read	VB	read
nice	JJ	nice
book	NN	book
