how	WRB	how
5	CD	5
5	CD	5
piece	NN	piece
skunk	NN	skunk
s	NN	S
t	NN	t
actors	NNS	actor
really	RB	really
bad	JJ	bad
mean	JJ	mean
chainsaw	NN	chainsaw
charlie	NN	charlie
retarded	VBD	retard
very	RB	very
beginning	NN	beginning
pokes	NNS	poke
head	VBP	head
wooden	JJ	wooden
hut	NN	hut
happened	VBN	happen
oh	UH	oh
1	CD	1
quarter	NN	quarter
inch	NN	inch
thick	RB	thick
really	RB	really
cheap	JJ	cheap
as	IN	as
flimsy	JJ	flimsy
piece	NN	piece
wood	NN	wood
did	VBD	do
not	RB	not
think	VB	think
cut	NN	cut
threw	VBD	throw
second	JJ	second
person	NN	person
did	VBD	do
set	NN	set
sucks	VBZ	suck
as	IN	as
supplying	VBG	supply
things	NNS	thing
build	VB	build
good	JJ	good
thing	NN	thing
idea	NN	idea
t	NN	t
v	NN	v
line	NN	line
not	RB	not
waste	NN	waste
hard	RB	hard
earned	VBD	earn
cash	NN	cash
hunk	NN	hunk
s	NN	S
t	NN	t
rating	NN	rating
0	CD	0
3	CD	3
