when	WRB	when
saw	VBD	see
theater	NN	theater
came	VBD	come
1995	CD	@card@
free	JJ	free
advanced	JJ	advanced
screening	NN	screening
totally	RB	totally
enchanted	VBD	enchant
gladly	RB	gladly
paid	VBN	pay
sorry	RB	sorry
talked	VBD	talk
many	JJ	many
people	NNS	people
seen	VBN	see
totally	RB	totally
disappointed	VBD	disappoint
it	PP	it
ended	VBD	end
hand	NN	hand
felt	VBD	feel
completely	RB	completely
opposite	JJ	opposite
totally	RB	totally
satisfied	VBN	satisfy
outcome	NN	outcome
people	NNS	people
talked	VBN	talk
said	VBD	say
too	RB	too
much	RB	much
talking	VBG	talk
plus	CC	plus
unhappy	JJ	unhappy
felt	VBD	feel
ending	VBG	end
left	JJ	left
wondering	VBG	wonder
fate	NN	fate
characters	NNS	character
observations	NNS	observation
absurd	JJ	absurd
painful	JJ	painful
evidence	NN	evidence
majority	NN	majority
american	NN	American
going	VBG	go
public	JJ	public
tendency	NN	tendency
want	VBP	want
easy	RB	easy
follow	VB	follow
stories	NNS	storey
films	NNS	film
not	RB	not
too	RB	too
much	RB	much
complex	JJ	complex
intelligent	JJ	intelligent
dialogue	NN	dialogue
lest	IN	lest
confused	JJ	confused
like	JJ	like
spoon	NN	spoon
fed	VBN	feed
tidy	JJ	tidy
endings	NNS	ending
happy	JJ	happy
sad	JJ	sad
disgusts	NNS	disgust
nobody	NN	nobody
wants	VBZ	want
challenged	VBN	challenge
anymore	RB	anymore
as	IN	as
ending	VBG	end
do	VBP	do
n't	RB	n't
want	VB	want
spoiler	NN	spoiler
totally	RB	totally
content	JJ	content
know	VBP	know
heart	NN	heart
characters	NNS	character
again	RB	again
it	PP	it
's	VBZ	be
all	DT	all
personal	JJ	personal
faith	NN	faith
romance	NN	romance
destiny	NN	destiny
it	PP	it
's	VBZ	be
very	RB	very
personal	JJ	personal
film	NN	film
does	VBZ	do
n't	RB	n't
speak	VB	speak
all	DT	all
people	NNS	people
but	CC	but
certainly	RB	certainly
spoke	VBD	speak
chance	NN	chance
patient	NN	patient
richard	NN	<unknown>
linklater	NN	<unknown>
crafted	VBD	craft
very	RB	very
lovely	JJ	lovely
film	NN	film
beautiful	JJ	beautiful
story	NN	story
set	VBN	set
against	IN	against
beautiful	JJ	beautiful
background	NN	background
city	NN	city
vienna	NN	<unknown>
watching	NN	watching
makes	VBZ	make
feel	VB	feel
as	IN	as
strolling	VBG	stroll
city	NN	city
streets	NNS	street
characters	NNS	character
as	IN	as
tripping	VBG	trip
europe	NN	<unknown>
eurail	NN	<unknown>
pass	VBP	pass
it	PP	it
's	VBZ	be
very	RB	very
intimate	JJ	intimate
plus	IN	plus
ethan	NP	Ethan
hawke	NP	Hawke
julie	NN	<unknown>
delpy	NN	<unknown>
exquisite	JJ	exquisite
job	NN	job
bringing	VBG	bring
complex	JJ	complex
script	NN	script
life	NN	life
improvised	VBD	improvise
parts	NNS	part
works	NNS	work
well	RB	well
great	JJ	great
chemistry	NN	chemistry
roles	NNS	role
awkwardness	NN	awkwardness
as	IN	as
strangers	NNS	stranger
getting	VBG	get
know	VB	know
beginning	VBG	begin
very	RB	very
believable	JJ	believable
truly	RB	truly
feel	VBP	feel
romance	NN	romance
bonding	VBG	bond
develop	VB	develop
as	IN	as
progresses	NNS	progress
feeling	VBG	feel
very	RB	very
personal	JJ	personal
work	NN	work
mr	NN	Mr
linklater	NN	<unknown>
deeply	RB	deeply
respect	VB	respect
getting	VBG	get
film	NN	film
definitely	RB	definitely
touched	VBD	touch
hope	NN	hope
touches	NNS	touch
just	RB	just
as	IN	as
much	JJ	much
bravo	NN	bravo
romance	NN	romance
