this	DT	this
probably	RB	probably
best	JJS	good
documentary	NN	documentary
seen	VBN	see
very	RB	very
long	JJ	long
time	NN	time
jonny	NN	<unknown>
kennedy	VBZ	<unknown>
still	RB	still
tragically	RB	tragically
beautiful	JJ	beautiful
inspiration	NN	inspiration
not	RB	not
survivor	NN	survivor
most	RBS	most
painful	JJ	painful
diseases	NNS	disease
but	CC	but
used	VBN	use
beauty	NN	beauty
world	NN	world
life	NN	life
death	NN	death
never	RB	never
up	RB	up
reaching	VBG	reach
people	NNS	people
spreading	VBG	spread
love	NN	love
watching	VBG	watch
minutes	NNS	minute
life	NN	life
long	JJ	long
struggle	NN	struggle
heart	NN	heart
wrenching	VBG	wrench
listening	VBG	listen
smart	JJ	smart
ass	NN	ass
remarks	NNS	remark
seeing	VBG	see
adorable	JJ	adorable
gestures	NNS	gesture
heartwarming	VBG	heartwarm
seeing	VBG	see
smile	NN	smile
indescribable	JJ	indescribable
feel	NN	feel
blessed	VBN	bless
able	JJ	able
touched	VBN	touch
tiny	JJ	tiny
giant	JJ	giant
chance	NN	chance
watch	NN	watch
film	NN	film
consider	VBP	consider
lucky	JJ	lucky
met	VBN	meet
jonny	NN	<unknown>
kennedy	NNS	<unknown>
