what	WP	what
stinkeroo	NP	<unknown>
turned	VBD	turn
time	NN	time
much	RB	much
earlier	JJR	early
career	NN	career
linda	NP	Linda
darnell	NP	Darnell
favorites	NNS	favorite
no	RB	no
great	RB	great
shakes	VBZ	shake
as	IN	as
actress	NN	actress
but	CC	but
very	RB	very
beautiful	JJ	beautiful
pleasant	JJ	pleasant
particularly	RB	particularly
films	NNS	film
like	IN	like
"	``	"
the	DT	the
mark	NN	mark
zorro	NN	<unknown>
"	''	"
"	``	"
blood	NN	blood
sand	NN	sand
"	''	"
but	CC	but
saw	VBD	see
monstrosity	NN	monstrosity
memories	NNS	memory
golden	JJ	golden
days	NNS	day
faded	VBD	fade
quickly	RB	quickly
story	VB	story
unbelievable	JJ	unbelievable
farcical	JJ	farcical
acting	JJ	acting
second	JJ	second
rate	NN	rate
supporting	VBG	support
cast	NN	cast
insufferable	JJ	insufferable
cannot	MD	can
think	VB	think
more	RBR	more
immature	JJ	immature
performance	NN	performance
compared	VBN	compare
tab	NN	tab
hunter	NN	hunter
donald	NP	Donald
gray	NN	gray
most	RBS	most
boring	JJ	boring
leading	VBG	lead
man	NN	man
picked	VBD	pick
added	JJ	added
terrible	JJ	terrible
photography	NN	photography
not	RB	not
just	RB	just
referring	VBG	refer
color	NN	color
associated	VBN	associate
shuddered	VBD	shudder
shown	VBN	show
