i	NP	i
stopped	VBD	stop
watching	VBG	watch
pos	NNS	po
as	RB	as
soon	RB	soon
as	IN	as
snakes	NNS	snake
started	VBD	start
"	''	"
taking	VBG	take
over	IN	over
"	``	"
plane	NN	plane
thought	VBD	think
maybe	RB	maybe
"	``	"
one	CD	one
"	''	"
comic	JJ	comic
relief	NN	relief
but	CC	but
realized	VBD	realize
just	RB	just
watch	VB	watch
stooges	NNS	stooge
free	RB	free
laugh	VBP	laugh
more	JJR	more
respect	NN	respect
samuel	NN	<unknown>
jackson	NN	<unknown>
irreversibly	RB	irreversibly
destroyed	VBN	destroy
hollywood	NN	<unknown>
demonstrates	VBZ	demonstrate
again	RB	again
removed	VBN	remove
reality	NN	reality
really	RB	really
kid	VB	kid
used	VBN	use
catch	NN	catch
snakes	VBZ	snake
fun	NN	fun
thing	NN	thing
snakes	NNS	snake
huddle	VBP	huddle
the	DT	the
cargo	NN	cargo
bay	NN	bay
no	DT	no
hollywood	NN	<unknown>
cartoon	NN	cartoon
snakes	VBZ	snake
change	NN	change
is	VBZ	be
n't	RB	n't
worth	JJ	worth
trip	NN	trip
blockbuster	NN	blockbuster
warned	VBD	warn
pay	VB	pay
"	``	"
victim	NN	victim
"	''	"
dumb	JJ	dumb
ass	NN	ass
want	VBP	want
really	RB	really
scared	RB	scared
suggest	VBP	suggest
descent	NN	descent
want	VBP	want
humor	NN	humor
local	JJ	local
stand	NN	stand
up	IN	up
comedy	NN	comedy
club	NN	club
worst	JJS	bad
performer	JJ	performer
million	CD	million
times	NNS	time
better	RBR	well
than	IN	than
trash	NN	trash
