what	WP	what
's	VBZ	be
up	RB	up
robert	JJ	<unknown>
"	``	"
pretentious	JJ	pretentious
"	''	"
altman	NN	<unknown>
saving	NN	saving
lighting	VBG	light
dark	JJ	dark
boring	JJ	boring
laughable	JJ	laughable
mean	NN	mean
seen	VBN	see
lawyer	NN	lawyer
's	POS	's
office	NN	office
works	NNS	work
candlelight	NN	candlelight
do	VBP	do
n't	RB	n't
waste	VB	waste
time	NN	time
fact	NN	fact
do	VBP	do
n't	RB	n't
waste	VB	waste
time	NN	time
altman	NN	<unknown>
makes	VBZ	make
it	PP	it
's	VBZ	be
all	DT	all
pretentious	JJ	pretentious
waste	NN	waste
film	NN	film
