this	DT	this
second	JJ	second
time	NN	time
i	NNS	i
've	VBP	have
felt	VBN	feel
compelled	VBN	compel
enough	JJ	enough
comment	NN	comment
imdb	NN	<unknown>
film	NN	film
time	NN	time
probably	RB	probably
best	JJS	good
i	NNS	i
've	VBP	have
seen	VBN	see
memento	NN	memento
seeing	VBG	see
darkwolf	NN	<unknown>
end	NN	end
scale	NN	scale
compared	VBN	compare
memento	NN	memento
as	IN	as
worst	JJS	bad
film	NN	film
i	NNS	i
've	VBP	have
misfortune	NN	misfortune
apart	RB	apart
scenes	NNS	scene
containing	VBG	contain
naked	JJ	naked
women	NNS	woman
nothing	NN	nothing
raise	NN	raise
trash	NN	trash
pile	NN	pile
let	NN	let
's	POS	's
apalling	NN	<unknown>
effects	NNS	effect
cliched	JJ	cliched
script	NN	script
bad	RB	bad
acting	VBG	act
90	CD	@card@
minutes	NNS	minute
too	RB	too
long	JJ	long
wife	NN	wife
laughed	VBD	laugh
most	JJS	most
disbelief	NN	disbelief
bad	RB	bad
amazingly	RB	amazingly
watched	VBN	watch
end	NN	end
did	VBD	do
do	VB	do
n't	RB	n't
know	VB	know
avoid	VB	avoid
