this	DT	this
truly	RB	truly
awful	JJ	awful
"	``	"
b	NN	b
"	''	"
witless	JJ	witless
often	RB	often
embarrassing	JJ	embarrassing
plot	NN	plot
basic	NN	basic
"	''	"
making	VBG	make
business	NN	business
"	``	"
routine	JJ	routine
almost	RB	almost
nonexistent	JJ	nonexistent
fact	NN	fact
film	NN	film
merely	RB	merely
excuse	NN	excuse
push	NN	push
war	NN	war
effort	NN	effort
highlight	VB	highlight
popular	JJ	popular
music	NN	music
groups	NNS	group
1942	CD	@card@
including	VBG	include
mills	NNS	mill
brothers	NNS	brother
count	VBP	count
basie	NN	<unknown>
duke	NN	duke
ellington	NN	<unknown>
bob	NN	bob
crosby	NN	<unknown>
freddy	NN	<unknown>
slack	NN	slack
group	NN	group
gets	VBZ	get
standard	JJ	standard
minutes	NNS	minute
exception	NN	exception
mills	NNS	mill
brothers	NNS	brother
reason	NN	reason
warranted	VBD	warrant
numbers	NNS	number
ann	NP	Ann
miller	NN	miller
does	VBZ	do
n't	RB	n't
dance	VB	dance
couple	NN	couple
minutes	NNS	minute
film	NN	film
little	RB	little
but	CC	but
strut	VB	strut
stuff	NN	stuff
amid	IN	amid
barrage	NN	barrage
patriotic	JJ	patriotic
propaganda	NN	propaganda
most	RBS	most
interesting	JJ	interesting
moment	NN	moment
film	NN	film
view	NN	view
occurred	VBD	occur
duke	NN	duke
ellington	NN	<unknown>
segment	NN	segment
band	NN	band
appears	VBZ	appear
playing	VBG	play
train	NN	train
standing	VBG	stand
awkward	JJ	awkward
positions	NNS	position
deep	JJ	deep
south	JJ	south
time	NN	time
band	NN	band
segregated	VBD	segregate
railroad	NN	railroad
cars	NNS	car
traveling	VBG	travel
johnny	NN	johnny
hodges	NNS	<unknown>
seen	VBN	see
duke	NN	duke
harry	VBP	harry
carney	VB	carney
identified	VBN	identify
moments	NNS	moment
film	NN	film
trumpeter	NN	trumpeter
violinist	NN	violinist
ray	NN	ray
nance	NN	<unknown>
rushes	VBZ	rush
aisle	NN	aisle
camera	NN	camera
does	VBZ	do
"	``	"
uncle	NN	uncle
tom	NN	tom
"	''	"
bugging	VBG	bug
eyes	NNS	eye
wiggling	VBG	wiggle
head	NN	head
way	NN	way
willy	NNS	<unknown>
best	RBS	well
did	VBD	do
many	JJ	many
films	NNS	film
modern	JJ	modern
viewers	NNS	viewer
especially	RB	especially
jazz	VBP	jazz
fans	NNS	fan
homage	VB	homage
segregation	NN	segregation
sad	JJ	sad
best	RBS	well
unseen	JJ	unseen
