my	PP$	my
friend	NN	friend
's	POS	's
mom	NN	mom
used	VBD	use
work	NN	work
video	NN	video
store	NN	store
got	VBD	get
preview	NN	preview
came	VBD	come
brought	VBN	bring
home	NN	home
convent	NN	convent
horror	NN	horror
could	MD	could
n't	RB	n't
wait	VB	wait
watch	NN	watch
given	VBN	give
it	PP	it
's	VBZ	be
supposed	VBN	suppose
scary	JJ	scary
but	CC	but
actually	RB	actually
downright	RB	downright
hilarious	JJ	hilarious
say	VBP	say
weird	JJ	weird
way	NN	way
like	IN	like
yes	RB	yes
acting	VBG	act
bad	JJ	bad
yes	NN	yes
it	PP	it
's	VBZ	be
cheapest	JJS	cheap
i	NNS	i
've	VBP	have
seen	VBN	see
but	CC	but
it	PP	it
's	VBZ	be
damn	RB	damn
funny	JJ	funny
"	``	"
what	WP	what
smoking	NN	smoking
ca	MD	ca
rack	VB	rack
"	``	"
did	VBD	do
n't	RB	n't
know	VB	know
released	VBN	release
figured	VBD	figure
too	RB	too
bad	JJ	bad
yeah	RB	yeah
overall	JJ	overall
pretty	RB	pretty
bad	RB	bad
gotta	VB	gotta
admit	VB	admit
much	RB	much
least	JJS	least
but	CC	but
promise	VB	promise
you	PP	you
good	JJ	good
laugh	NN	laugh
kinda	RB	kinda
sucks	VBZ	suck
but	CC	but
it	PP	it
's	VBZ	be
good	JJ	good
laugh	NN	laugh
especially	RB	especially
guy	NN	guy
holds	NNS	hold
'	POS	'
dagger	NN	dagger
despair	NN	despair
'	POS	'
dagger	NN	dagger
despaaaaaair	NN	<unknown>
