the	DT	the
sopranos	NNS	soprano
most	RBS	most
mind	VB	mind
opening	NN	opening
series	NNS	sery
possibly	RB	possibly
want	VBP	want
watch	VB	watch
it	PP	it
's	VBZ	be
smart	JJ	smart
it	PP	it
's	VBZ	be
quirky	JJ	quirky
it	PP	it
's	VBZ	be
funny	JJ	funny
carries	VBZ	carry
mafia	NN	mafia
genre	NN	genre
well	RB	well
most	JJS	most
people	NNS	people
ca	MD	ca
n't	RB	n't
resist	VB	resist
watching	VBG	watch
best	JJS	good
aspect	NN	aspect
overwhelming	JJ	overwhelming
realism	NN	realism
characters	NNS	character
set	VBD	set
subterranean	JJ	subterranean
world	NN	world
new	JJ	new
york	VBP	york
crime	NN	crime
families	NNS	family
most	RBS	most
time	NN	time
really	RB	really
do	VBP	do
n't	RB	n't
know	VB	know
wise	JJ	wise
guys	NNS	guy
stab	VBP	stab
buy	VB	buy
lunch	NN	lunch
further	RBR	further
adding	VBG	add
realistic	JJ	realistic
approach	NN	approach
characters	NNS	character
depth	NN	depth
personalities	NNS	personality
dangerous	JJ	dangerous
men	NNS	man
most	JJS	most
murderers	NNS	murderer
but	CC	but
god	NN	god
do	VBP	do
n't	RB	n't
love	VB	love
too	RB	too
i	NNS	i
've	VBP	have
laughed	VBN	laugh
wisecracks	NNS	wisecrack
torn	VBN	tear
they	PP	they
've	VBP	have
err	VB	err
judgement	NN	judgement
felt	VBD	feel
scared	JJ	scared
sheer	JJ	sheer
ruthlessness	NN	ruthlessness
serious	JJ	serious
criminal	JJ	criminal
suburban	JJ	suburban
setting	NN	setting
new	JJ	new
jersey	NN	jersey
absolutely	RB	absolutely
perfect	JJ	perfect
show	NN	show
's	POS	's
subtext	NN	subtext
people	NNS	people
are	VBP	be
n't	RB	n't
always	RB	always
as	IN	as
stark	JJ	stark
contrast	NN	contrast
humdrum	NN	humdrum
actions	NNS	action
taken	VBN	take
seemingly	RB	seemingly
petty	JJ	petty
criminals	NNS	criminal
weigh	VBP	weigh
up	RP	up
odds	NNS	odd
have	VBP	have
n't	RB	n't
most	RBS	most
definitely	RB	definitely
