i	NP	i
could	MD	could
n't	RB	n't
hold	VB	hold
tears	NNS	tear
watched	VBN	watch
beautiful	JJ	beautiful
documentary	JJ	documentary
heart	NN	heart
breaking	VBG	break
disturbing	JJ	disturbing
inspiring	VBG	inspire
all	DT	all
recommend	VBP	recommend
documentary	JJ	documentary
seeking	VBG	seek
make	NN	make
think	VBP	think
doing	VBG	do
lives	NNS	life
simply	RB	simply
make	VBP	make
think	VB	think
watch	NN	watch
as	IN	as
john	NN	john
lives	VBZ	live
couple	NN	couple
months	NNS	month
life	NN	life
watch	NN	watch
as	RB	as
goes	VBZ	go
days	NNS	day
positive	JJ	positive
attitude	NN	attitude
point	NN	point
begin	VB	begin
truly	RB	truly
amazing	JJ	amazing
individual	NN	individual
begin	VB	begin
understand	VB	understand
teach	VB	teach
all	DT	all
life	NN	life
struggles	VBZ	struggle
make	VB	make
laugh	NN	laugh
life	NN	life
's	VBZ	be
lot	RB	lot
easier	RBR	easier
live	VB	live
just	RB	just
day	NN	day
time	NN	time
