i	NP	i
love	NN	love
monte	NN	monte
carlo	NN	<unknown>
thoroughly	RB	thoroughly
enjoyed	VBD	enjoy
thought	VBN	think
very	RB	very
good	JJ	good
not	RB	not
familiar	JJ	familiar
richard	NN	<unknown>
lewis	NN	lewis
thought	VBD	think
character	NN	character
julian	NN	<unknown>
peters	VBZ	peter
very	RB	very
personable	JJ	personable
funny	JJ	funny
attractive	JJ	attractive
sean	JJ	<unknown>
young	JJ	young
very	JJ	very
good	NN	good
as	RB	as
befuddled	VBD	befuddle
rejected	VBN	reject
girl	NN	girl
heart	NN	heart
gold	NN	gold
george	NN	<unknown>
hamilton	NN	<unknown>
charming	VBG	charm
perfect	JJ	perfect
italian	JJ	Italian
gigolo	NN	gigolo
john	NN	john
candy	NN	candy
field	NN	field
day	NN	day
as	IN	as
bon	NN	<unknown>
vivant	NN	vivant
james	VBZ	<unknown>
belushi	NNS	<unknown>
hysterical	JJ	hysterical
as	IN	as
total	JJ	total
jerk	NN	jerk
cybill	NN	<unknown>
shepard	NN	<unknown>
gave	VBD	give
very	RB	very
sweet	JJ	sweet
performance	NN	performance
as	IN	as
nice	JJ	nice
vulnerable	JJ	vulnerable
ignored	VBN	ignore
housewife	NN	housewife
delightful	JJ	delightful
ensemble	NN	ensemble
cast	NN	cast
lots	NNS	lot
talent	NN	talent
clever	JJ	clever
script	NN	script
lots	NNS	lot
going	VBG	go
beautiful	JJ	beautiful
locations	NNS	location
just	RB	just
nice	JJ	nice
pick	NN	pick
up	IN	up
dreary	JJ	dreary
day	NN	day
especially	RB	especially
winter	NN	winter
trip	NN	trip
europe	NN	<unknown>
not	RB	not
horizon	NN	horizon
