i	NP	i
honestly	RB	honestly
want	VBP	want
30	CD	@card@
minuets	NNS	minuet
life	NN	life
person	NN	person
fit	NN	fit
watch	VBP	watch
helen	JJ	<unknown>
keller	NN	<unknown>
kept	VBD	keep
saying	VBG	say
myself	PP	myself
better	RBR	well
better	RBR	well
zombies	NNS	zombie
finally	RB	finally
showed	VBD	show
up	RP	up
raccoon	NNS	raccoon
paint	VBP	paint
eyes	NNS	eye
talked	VBN	talk
like	IN	like
regular	JJ	regular
people	NNS	people
drove	VBD	drive
car	NN	car
voodoo	NN	voodoo
woman	NN	woman
asked	VBN	ask
"	``	"
zombies	NNS	zombie
"	''	"
wanted	VBN	want
"	``	"
zombie	NN	zombie
"	''	"
said	VBN	say
want	VBP	want
dance	NN	dance
came	VBD	come
could	MD	could
n't	RB	n't
any	RB	any
longer	RBR	longer
sue	VB	sue
hour	NN	hour
life	NN	life
