when	WRB	when
yo	NP	Yo
learned	VBD	learn
series	NN	series
called	VBD	call
"	``	"
los	NP	los
campeones	NNS	<unknown>
"	``	"
just	RB	just
kid	NN	kid
did	VBD	do
need	MD	need
convince	VB	convince
parents	NNS	parent
let	VB	let
watch	VB	watch
"	``	"
the	DT	the
champions	NNS	champion
"	''	"
"	''	"
the	DT	the
avengers	NNS	avenger
"	''	"
week	NN	week
think	VBP	think
golden	JJ	golden
age	NN	age
english	JJ	English
series	NN	series
complete	JJ	complete
cycle	NN	cycle
"	''	"
the	DT	the
prisoner	NN	prisoner
"	''	"
but	CC	but
lasted	VBD	last
few	JJ	few
years	NNS	year
later	RBR	later
"	``	"
the	DT	the
tomorrow	NN	tomorrow
people	NNS	people
"	''	"
"	''	"
the	DT	the
worst	JJS	bad
witch	NN	witch
"	''	"
just	RB	just
"	``	"
harry	VB	harry
potter	VB	potter
"	``	"
girl	NN	girl
course	NN	course
as	IN	as
much	RB	much
as	RB	as
want	VB	want
"	``	"
the	DT	the
campions	NNS	campion
"	''	"
zone	NN	zone
1	CD	1
zone	NN	zone
4	CD	4
i	NNS	i
'm	VBP	be
waiting	VBG	wait
"	``	"
dr	NN	Dr
who	WP	who
"	``	"
pack	NN	pack
whole	NN	whole
series	NN	series
set	VBD	set
uhm	NN	<unknown>
maybe	RB	maybe
300	CD	@card@
dvd	NNS	<unknown>
's	POS	's
could	MD	could
n't	RB	n't
expend	VB	expend
more	JJR	more
8	CD	8
"	``	"
people	NNS	people
tomorrow	NN	tomorrow
"	''	"
'	''	'
low	JJ	low
budget	NN	budget
'	''	'
but	CC	but
great	JJ	great
stories	NNS	storey
available	JJ	available
reached	VBN	reach
zones	NNS	zone
speak	VBP	speak
understand	VB	understand
english	JJ	English
but	CC	but
not	RB	not
all	DT	all
relatives	NNS	relative
including	VBG	include
parents	NNS	parent
introduced	VBD	introduce
great	JJ	great
stories	NNS	storey
hope	VBP	hope
someday	RB	someday
feel	VB	feel
attraction	NN	attraction
series	NN	series
sell	NN	sell
as	IN	as
originally	RB	originally
view	NN	view
dubbed	VBD	dub
subtitled	VBN	subtitle
but	CC	but
format	NN	format
saw	VBD	see
remember	VB	remember
zone	NN	zone
1	CD	1
4	CD	4
ok	VB	ok
tv	NN	tv
set	NN	set
