i	NP	i
loved	VBD	love
season	NN	season
quality	NN	quality
went	VBD	go
little	JJ	little
bit	NN	bit
second	JJ	second
season	NN	season
however	RB	however
great	JJ	great
middle	JJ	middle
pegasus	NN	<unknown>
season	NN	season
fairly	RB	fairly
novel	JJ	novel
original	NN	original
ok	VB	ok
fourth	JJ	fourth
season	NN	season
started	VBD	start
going	VBG	go
downhill	RB	downhill
fast	RB	fast
never	RB	never
began	VBD	begin
giving	VBG	give
any	DT	any
explanations	NNS	explanation
really	RB	really
starting	VBG	start
need	NN	need
hell	NN	hell
cylon	NN	<unknown>
plan	NN	plan
cylon	NN	<unknown>
factions	NNS	faction
point	VBP	point
angel	NN	angel
kara	NN	<unknown>
leading	VBG	lead
fleet	JJ	fleet
devastated	JJ	devastated
earth	NN	earth
1	CD	1
kind	NN	kind
past	NN	past
did	VBD	do
cylons	NNS	<unknown>
did	VBD	do
survive	VB	survive
reincarnations	NNS	reincarnation
questions	NNS	question
answers	NNS	answer
comes	VBZ	come
end	NN	end
earth	NN	earth
2	CD	2
earth	NN	earth
past	IN	past
well	RB	well
okay	JJ	okay
but	CC	but
destroying	VBG	destroy
fleet	NN	fleet
giving	VBG	give
up	RP	up
technology	NN	technology
giving	VBG	give
up	RP	up
any	DT	any
kind	NN	kind
urban	JJ	urban
life	NN	life
spreading	VBG	spread
few	JJ	few
thousand	CD	thousand
people	NNS	people
paper	NN	paper
thinly	RB	thinly
planet	NN	planet
that	WDT	that
's	VBZ	be
not	RB	not
anti	JJ	anti
science	NN	science
it	PP	it
's	VBZ	be
anti	JJ	anti
reason	NN	reason
anti	JJ	anti
life	NN	life
philosophy	NN	philosophy
humanity	NN	humanity
forever	RB	forever
trapped	VBN	trap
cycle	NN	cycle
going	VBG	go
nature	NN	nature
romanticism	NN	romanticism
decadent	JJ	decadent
capitalist	JJ	capitalist
society	NN	society
inventing	VBG	invent
destructive	JJ	destructive
ruins	NNS	ruin
vision	NN	vision
hope	VBP	hope
grander	JJR	grand
future	NN	future
humanity	NN	humanity
antithetical	JJ	antithetical
proper	JJ	proper
science	NN	science
fiction	NN	fiction
do	VBP	do
n't	RB	n't
started	VBN	start
angels	NNS	angel
religious	JJ	religious
claptrap	NN	claptrap
worst	JJS	bad
kind	NN	kind
ultimate	JJ	ultimate
disappointment	NN	disappointment
whole	NN	whole
"	``	"
all	RB	all
happened	VBD	happen
happen	VB	happen
again	RB	again
"	''	"
thing	NN	thing
related	VBN	relate
previous	JJ	previous
incarnation	NN	incarnation
series	NN	series
not	RB	not
just	RB	just
earth	VBP	earth
as	RB	as
know	VB	know
making	VBG	make
new	JJ	new
consistent	JJ	consistent
old	JJ	old
definitive	JJ	definitive
stroke	NN	stroke
genius	NN	genius
frakkin	NN	<unknown>
shame	NN	shame
1	CD	1
10	CD	@card@
