i	NP	i
expectation	NN	expectation
nice	JJ	nice
star	NN	star
cast	NN	cast
return	NN	return
duo	NN	duo
akshay	NN	<unknown>
saif	NN	<unknown>
well	RB	well
hesitant	JJ	hesitant
watch	NN	watch
man	NN	man
wrote	VBD	write
story	NN	story
dhoom	NN	<unknown>
franchise	NN	franchise
hated	VBD	hate
dhoom	NN	<unknown>
2	CD	2
but	CC	but
dhoom	NN	<unknown>
2	CD	2
compared	VBN	compare
tashan	NNS	<unknown>
say	VBP	say
dhoom	NN	<unknown>
2	CD	2
very	RB	very
realistic	JJ	realistic
saw	NN	saw
credits	NNS	credit
beginning	NN	beginning
felt	VBD	feel
nice	JJ	nice
up	IN	up
nice	JJ	nice
way	NN	way
well	RB	well
very	RB	very
scene	NN	scene
itself	PP	itself
pis	NNS	pi
ed	VBN	edited
major	JJ	major
drawback	NN	drawback
the	DT	the
action	NN	action
sequences	NNS	sequence
friends	NNS	friend
laughing	VBG	laugh
guts	NNS	gut
watching	VBG	watch
crappy	JJ	<unknown>
fights	NNS	fight
like	IN	like
akshay	NN	<unknown>
against	IN	against
30	CD	@card@
thugs	NNS	thug
all	DT	all
thugs	NNS	thug
got	VBD	get
machine	NN	machine
guns	NNS	gun
phew	NN	<unknown>
got	VBD	get
to	TO	to
understand	VB	understand
bad	JJ	bad
action	NN	action
sequences	NNS	sequence
thing	NN	thing
the	DT	the
far	RB	far
too	RB	too
predictable	JJ	predictable
story	NN	story
reminded	VBD	remind
early	RB	early
80	CD	@card@
's	VBZ	be
well	RB	well
thing	NN	thing
worth	JJ	worth
sexy	JJ	sexy
kareena	NN	<unknown>
looked	VBD	look
really	RB	really
hot	JJ	hot
rating	NN	rating
2	CD	2
10	CD	@card@
guys	NNS	guy
please	RB	please
do	VBP	do
n't	RB	n't
thinking	VBG	think
real	JJ	real
gangster	NN	gangster
well	RB	well
watch	VBP	watch
laughs	VBZ	laugh
terrible	JJ	terrible
fight	NN	fight
scenes	NNS	scene
thats	VBZ	<unknown>
all	DT	all
