i	NP	i
saw	VBD	see
little	JJ	little
kid	NN	kid
fell	VBD	fall
love	NN	love
sets	NNS	set
breath	NN	breath
taking	VBG	take
script	NN	script
damn	RB	damn
right	RB	right
hilarious	JJ	hilarious
"	''	"
you	PP	you
sons	NNS	son
thousand	CD	thousand
fleas	NNS	flea
"	``	"
always	RB	always
shown	VBN	show
tv	NN	tv
late	JJ	late
night	NN	night
really	RB	really
early	JJ	early
morning	NN	morning
woke	VBD	wake
up	RB	up
3	CD	3
00	CD	@card@
just	RB	just
started	VBN	start
tv	NN	tv
companys	NNS	<unknown>
need	VBP	need
little	RB	little
more	JJR	more
respect	NN	respect
prime	JJ	prime
time	NN	time
sunday	NN	Sunday
chance	NN	chance
view	VBP	view
fine	RB	fine
work	VB	work
10	CD	@card@
10	CD	@card@
