when	WRB	when
think	VBP	think
all	DT	all
adjectives	NNS	adjective
come	VBP	come
mind	NN	mind
relate	VBP	relate
physical	JJ	physical
appreciation	NN	appreciation
world	NN	world
texture	NN	texture
smell	NN	smell
color	NN	color
that	WDT	that
's	VBZ	be
think	VB	think
judged	VBN	judge
terms	NNS	term
rich	JJ	rich
golden	JJ	golden
tones	NNS	tone
surrounding	VBG	surround
young	JJ	young
concubine	NN	concubine
asleep	JJ	asleep
fireplace	NN	fireplace
sweltering	VBG	swelter
turkish	JJ	Turkish
bath	NN	bath
let	VBD	let
flood	NN	flood
senses	NNS	sense
impressions	NNS	impression
spice	VBP	spice
coarse	JJ	coarse
cloth	NN	cloth
smooth	JJ	smooth
skin	NN	skin
scented	VBD	scent
oils	NNS	oil
flickering	VBG	flicker
flames	NNS	flame
satin	NN	satin
rustle	NN	rustle
do	VBP	do
n't	RB	n't
just	RB	just
watch	VB	watch
listen	VB	listen
absorbed	VBN	absorb
let	VBP	let
droning	VBG	drone
voice	NN	voice
storyteller	NN	storyteller
mesmerize	VBP	mesmerize
