this	DT	this
total	JJ	total
dog	NN	dog
myself	PP	myself
straining	VBG	strain
to	TO	to
laugh	VB	laugh
just	RB	just
would	MD	would
n't	RB	n't
feel	VB	feel
like	IN	like
i	NP	i
'd	VBD	have
totally	RB	totally
wasted	VBN	waste
money	NN	money
time	NN	time
writing	VBG	write
film	NN	film
absolutely	RB	absolutely
terrible	JJ	terrible
it	PP	it
's	VBZ	be
shame	NN	shame
it	PP	it
's	VBZ	be
not	RB	not
up	IN	up
standards	NNS	standard
hale	JJ	hale
storm	NN	storm
saved	VBD	save
money	NN	money
getting	VBG	get
d	NN	d
list	NN	list
actors	NNS	actor
like	IN	like
fred	NP	Fred
willard	NP	Willard
gary	NN	<unknown>
coleman	NN	<unknown>
spent	VBD	spend
money	NN	money
working	VBG	work
script	NN	script
right	NN	right
gary	NN	<unknown>
coleman	NN	<unknown>
was	VBD	be
n't	RB	n't
properly	RB	properly
utilized	VBN	utilize
role	NN	role
leaves	VBZ	leave
wondering	VBG	wonder
point	VBP	point
most	JJS	most
plot	NN	plot
including	VBG	include
subplots	NNS	subplot
viewing	VBG	view
i	NP	i
'm	VBP	be
left	VBN	leave
impression	NN	impression
producers	NNS	producer
hoping	VBG	hope
capture	NN	capture
kind	NN	kind
napolean	JJ	<unknown>
dynamite	NN	dynamite
like	IN	like
humor	NN	humor
it	PP	it
's	VBZ	be
not	RB	not
much	JJ	much
lines	NNS	line
as	IN	as
character	NN	character
delivery	NN	delivery
unfortunately	RB	unfortunately
fails	VBZ	fail
deliver	VB	deliver
lines	NNS	line
characters	NNS	character
delivery	NN	delivery
humor	NN	humor
gone	VBN	go
dentist	NN	dentist
instead	RB	instead
