i	NP	i
surprised	VBD	surprise
than	IN	than
many	JJ	many
viewers	NNS	viewer
hold	VBP	hold
more	JJR	more
respect	NN	respect
sequel	NN	sequel
brilliant	JJ	brilliant
seen	VBN	see
all	DT	all
guinea	NN	guinea
pigs	NNS	pig
easily	RB	easily
best	RBS	well
though	IN	though
ive	NN	<unknown>
seen	VBN	see
"	``	"
making	VBG	make
of	IN	of
"	``	"
still	RB	still
doubts	VBZ	doubt
watching	VBG	watch
35mins	JJ	<unknown>
pure	JJ	pure
torture	NN	torture
powerful	JJ	powerful
10	CD	@card@
10	CD	@card@
achieved	VBD	achieve
perfectly	RB	perfectly
set	VB	set
best	RBS	well
fake	JJ	fake
snuff	NN	snuff
film	NN	film
