this	DT	this
really	RB	really
old	JJ	old
fashion	NN	fashion
charming	JJ	charming
locations	NNS	location
great	JJ	great
situation	NN	situation
old	JJ	old
time	NN	time
preston	NN	<unknown>
sturgess	NN	<unknown>
fi	NNS	<unknown>
want	VBP	want
watch	NN	watch
does	VBZ	do
n't	RB	n't
demand	VB	demand
much	RB	much
sit	VB	sit
relax	VB	relax
acting	VBG	act
good	NN	good
really	RB	really
liked	VBD	like
michael	NP	Michael
rispoli	NP	Rispoli
rounders	NNS	rounder
too	RB	too
while	IN	while
sleeping	VBG	sleep
rest	NN	rest
cast	NN	cast
fun	NN	fun
it	PP	it
's	VBZ	be
just	RB	just
happens	VBZ	happen
people	NNS	people
married	VBN	marry
meet	VBP	meet
really	RB	really
love	VB	love
weekend	NN	weekend
planning	NN	planning
weddings	NNS	wedding
know	VBP	know
sounds	NNS	sound
kooky	JJ	kooky
but	CC	but
that	WDT	that
's	VBZ	have
makes	VBZ	make
fun	NN	fun
watch	NN	watch
make	VBP	make
girl	NN	girl
friend	NN	friend
either	CC	either
hug	NN	hug
leave	NN	leave
but	CC	but
least	JJS	least
you	PP	you
'll	MD	will
know	VB	know
