when	WRB	when
16	CD	@card@
saw	NN	saw
documentary	NN	documentary
"	``	"
a	DT	a
funny	JJ	funny
thing	NN	thing
happened	VBD	happen
way	NN	way
moon	NN	moon
"	``	"
actually	RB	actually
liked	VBD	like
believed	VBN	believe
couple	NN	couple
years	NNS	year
but	CC	but
grew	VBD	grow
up	RB	up
began	VBD	begin
think	NN	think
sought	VBD	seek
more	JJR	more
information	NN	information
more	JJR	more
info	NN	info
reel	NN	reel
sources	NNS	source
non	JJ	non
biased	VBN	bias
sources	NNS	source
started	VBD	start
university	NN	university
not	RB	not
long	RB	long
ago	RB	ago
asked	VBN	ask
assistant	JJ	assistant
professor	NN	professor
astronomy	NN	astronomy
conspiracy	NN	conspiracy
theories	NNS	theory
said	VBD	say
shocked	JJ	shocked
said	VBD	say
all	DT	all
theories	NNS	theory
lies	NNS	lie
baffled	VBN	baffle
did	VBD	do
not	RB	not
believe	VB	believe
but	CC	but
presented	VBD	present
evidence	NN	evidence
claims	NNS	claim
quickly	RB	quickly
debunked	VBD	debunk
most	JJS	most
theories	NNS	theory
subject	NN	subject
"	''	"
humans	NNS	human
did	VBD	do
not	RB	not
moon	VB	moon
"	``	"
most	JJS	most
outrages	NNS	outrage
claim	VBP	claim
apollo	NN	apollo
craft	VBP	craft
not	RB	not
travel	VB	travel
van	NP	van
allen	NP	Allen
radiation	NN	radiation
belt	NN	belt
crew	NN	crew
perishing	JJ	perishing
radiation	NN	radiation
truth	NN	truth
americans	NNS	American
use	VBP	use
secret	JJ	secret
aluminum	JJ	aluminum
anti	JJ	anti
radiation	NN	radiation
alloy	NN	alloy
not	RB	not
well	RB	well
known	VBN	know
exact	JJ	exact
specifications	NNS	specification
secret	JJ	secret
secret	NN	secret
well	RB	well
reveal	VBP	reveal
space	NN	space
race	NN	race
russians	NNS	Russian
very	RB	very
dumb	JJ	dumb
reveal	VBP	reveal
new	JJ	new
technology	NN	technology
shield	NN	shield
crew	NN	crew
against	IN	against
radiation	NN	radiation
biggest	JJS	big
evidence	NN	evidence
all	DT	all
moon	NN	moon
stones	VBZ	stone
apollo	NN	apollo
missions	NNS	mission
did	VBD	do
moon	NN	moon
brought	VBD	bring
many	JJ	many
rocks	NNS	rock
moon	NN	moon
to	TO	to
geologists	NNS	geologist
similar	JJ	similar
scientists	NNS	scientist
documenting	VBG	document
all	DT	all
things	NNS	thing
moon	VBP	moon
rocks	NNS	rock
stones	NNS	stone
fact	NN	fact
moon	NN	moon
internal	JJ	internal
basic	JJ	basic
elements	NNS	element
all	DT	all
matter	NN	matter
consist	VBP	consist
of	IN	of
special	JJ	special
isotopes	NNS	isotope
different	JJ	different
quarry	NN	quarry
quarry	NN	quarry
land	NN	land
land	NN	land
especially	RB	especially
planet	NN	planet
planet	NN	planet
isotopes	NNS	isotope
rocks	NNS	rock
stones	NNS	stone
proved	VBD	prove
not	RB	not
come	VB	come
earth	NN	earth
astronauts	NNS	astronaut
brought	VBD	bring
home	NN	home
hundreds	NNS	hundred
kilogram	NN	kilogram
's	POS	's
rocks	NNS	rock
all	RB	all
proved	VBD	prove
come	VB	come
outside	JJ	outside
earth	NN	earth
planet	NN	planet
ergo	RB	ergo
moon	NN	moon
landings	NNS	landing
not	RB	not
fake	JJ	fake
nasa	NN	<unknown>
did	VBD	do
planet	NN	planet
moon	NN	moon
though	IN	though
not	RB	not
planet	NN	planet
but	CC	but
satellite	NN	satellite
planet	NN	planet
moon	NN	moon
duuh	NP	<unknown>
rocks	NNS	rock
distributed	VBD	distribute
laboratories	NNS	laboratory
universities	NNS	university
all	DT	all
world	NN	world
proved	VBD	prove
humans	NNS	human
did	VBD	do
moon	NN	moon
fact	NN	fact
pronto	RB	pronto
but	CC	but
not	RB	not
worry	VBP	worry
most	JJS	most
conspiracy	NN	conspiracy
theorists	NNS	theorist
generally	RB	generally
unemployed	JJ	unemployed
uneducated	JJ	uneducated
mostly	RB	mostly
not	RB	not
know	VB	know
lie	NN	lie
facts	NNS	fact
fact	NN	fact
remains	VBZ	remain
humans	NNS	human
did	VBD	do
walk	NN	walk
moon	NN	moon
