it	PP	it
accident	NN	accident
scanning	VBG	scan
tv	NN	tv
channels	NNS	channel
wonderful	JJ	wonderful
film	NN	film
beautiful	JJ	beautiful
human	JJ	human
beings	NNS	being
attracted	VBD	attract
very	RB	very
innocent	JJ	innocent
virgin	NN	virgin
like	IN	like
approach	NN	approach
ethan	NN	<unknown>
hawke	NP	Hawke
jesse	NN	<unknown>
"	``	"
tape	NN	tape
"	''	"
'	''	'
01	CD	@card@
julie	NN	<unknown>
delpy	NN	<unknown>
celine	NN	<unknown>
"	``	"
er	JJ	<unknown>
"	''	"
94	CD	@card@
tv	NN	tv
series	NN	series
nicole	NN	<unknown>
gal	NN	gal
guy	NN	guy
warm	JJ	warm
very	JJ	very
heart	NN	heart
soul	NN	soul
make	VBP	make
think	VB	think
deeply	RB	deeply
past	JJ	past
relationships	NNS	relationship
really	RB	really
wish	VBP	wish
followed	VBN	follow
hearts	NNS	heart
strings	NNS	string
guy	NN	guy
gal	NN	gal
deep	RB	deep
loved	VBD	love
lost	VBN	lose
track	NN	track
years	NNS	year
jesse	NN	<unknown>
celine	NN	<unknown>
great	JJ	great
conversation	NN	conversation
deep	JJ	deep
eye	NN	eye
contact	NN	contact
great	JJ	great
magnetic	JJ	magnetic
explosion	NN	explosion
looking	VBG	look
forward	JJ	forward
sequel	NN	sequel
film	NN	film
2004	CD	@card@
viewed	VBN	view
film	NN	film
feel	VBP	feel
way	NN	way
