how	WRB	how
begin	VBP	begin
probably	RB	probably
worst	RB	worst
seen	VBN	see
no	DT	no
redeemable	JJ	redeemable
qualities	NNS	quality
just	RB	just
sat	VBD	sit
struggle	NN	struggle
failed	VBD	fail
single	JJ	single
smile	NN	smile
face	VBP	face
hard	RB	hard
believe	VB	believe
distribute	VB	distribute
horrible	JJ	horrible
film	NN	film
felt	VBD	feel
failed	JJ	failed
attempt	NN	attempt
distasteful	JJ	distasteful
humor	NN	humor
thing	NN	thing
worth	JJ	worth
soundtrack	NN	soundtrack
i	NNS	i
'm	VBP	be
pretty	RB	pretty
sure	JJ	sure
thats	NNS	<unknown>
reason	NN	reason
wanted	VBD	want
place	NN	place
wrap	VB	wrap
up	RP	up
as	IN	as
going	VBG	go
try	VB	try
forget	VB	forget
time	NN	time
just	RB	just
wasted	VBN	waste
piece	NN	piece
crap	NN	crap
leave	VBP	leave
warning	VBG	warn
not	RB	not
watch	NN	watch
film	NN	film
sucks	VBZ	suck
