you	PP	you
know	VBP	know
bad	RB	bad
highlight	VB	highlight
able	JJ	able
brief	JJ	brief
moment	NN	moment
"	``	"
jeopardy	NN	jeopardy
"	''	"
saddest	JJS	sad
thing	NN	thing
white	JJ	white
men	NNS	man
ca	MD	ca
n't	RB	n't
jump	VB	jump
tremendous	JJ	tremendous
potential	JJ	potential
years	NNS	year
lived	VBD	live
area	NN	area
quite	RB	quite
like	IN	like
portrayed	VBN	portray
film	NN	film
racial	JJ	racial
tensions	NNS	tension
high	JJ	high
basketball	NN	basketball
meant	VBD	mean
film	NN	film
members	NNS	member
"	''	"
basketball	NN	basketball
culture	NN	culture
"	``	"
very	RB	very
interesting	JJ	interesting
but	CC	but
mediocre	JJ	mediocre
acting	VBG	act
poor	JJ	poor
script	NN	script
white	JJ	white
men	NNS	man
ca	MD	ca
n't	RB	n't
job	VB	job
left	RB	left
desired	VBN	desire
movie	NN	movie
's	POS	's
sequence	NN	sequence
events	NNS	event
cyclical	JJ	cyclical
billy	NN	billy
either	CC	either
wins	NNS	win
loses	VBZ	lose
money	NN	money
playing	NN	playing
game	NN	game
basketball	NN	basketball
returns	VBZ	return
home	NN	home
lounges	NNS	lounge
girlfriend	NN	girlfriend
process	NN	process
repeated	VBD	repeat
most	JJS	most
stories	NNS	storey
build	VBP	build
up	RB	up
climax	VB	climax
kind	NN	kind
but	CC	but
"	``	"
climax	NN	climax
"	''	"
saw	VBD	see
just	RB	just
sequence	NN	sequence
repetition	NN	repetition
case	NN	case
"	''	"
billy	NN	billy
either	CC	either
wins	NNS	win
loses	VBZ	lose
money	NN	money
playing	NN	playing
game	NN	game
basketball	NN	basketball
"	''	"
order	NN	order
plot	NN	plot
develop	VBP	develop
dilemma	NN	dilemma
resolved	VBN	resolve
dilemma	NN	dilemma
interesting	JJ	interesting
film	NN	film
going	VBG	go
interesting	JJ	interesting
as	IN	as
well	RB	well
apparently	RB	apparently
writers	NNS	writer
white	JJ	white
men	NNS	man
ca	MD	ca
n't	RB	n't
jump	VB	jump
forgot	VBN	forget
rule	NN	rule
as	IN	as
plot	NN	plot
summarized	VBN	summarize
as	IN	as
"	``	"
billy	NN	billy
needs	VBZ	need
pay	VB	pay
bills	NNS	bill
"	``	"
appreciated	VBN	appreciate
change	NN	change
pace	IN	pace
formulaic	JJ	formulaic
sports	NNS	sport
but	CC	but
i	NNS	i
'm	VBP	be
sorry	RB	sorry
just	RB	just
plain	JJ	plain
awful	JJ	awful
cared	VBD	care
less	JJR	less
billy	NN	billy
got	VBD	get
money	NN	money
pay	NN	pay
rent	NN	rent
apartment	NN	apartment
despite	IN	despite
all	DT	all
white	JJ	white
men	NNS	man
ca	MD	ca
n't	RB	n't
jump	VB	jump
successful	JJ	successful
film	NN	film
apparently	RB	apparently
adamant	JJ	adamant
sports	NNS	sport
fans	NNS	fan
dismiss	VBP	dismiss
terrible	JJ	terrible
writing	VBG	write
few	JJ	few
scenes	NNS	scene
basketball	NN	basketball
i	NNS	i
'm	VBP	be
sure	RB	sure
lured	VBN	lure
big	JJ	big
names	NNS	name
playing	VBG	play
leading	VBG	lead
roles	NNS	role
leaves	NNS	leave
wonder	VBP	wonder
cast	NN	cast
replaced	VBD	replace
entirely	RB	entirely
previously	RB	previously
unknown	JJ	unknown
actors	NNS	actor
basketball	NN	basketball
theme	NN	theme
replaced	VBD	replace
lacrosse	NN	lacrosse
bothered	VBD	bother
watching	VBG	watch
really	RB	really
do	VBP	do
n't	RB	n't
think	VB	think
i	NNS	i
'll	MD	will
stars	NNS	star
extra	JJ	extra
star	NN	star
"	``	"
jeopardy	NN	jeopardy
"	''	"
scene	NN	scene
kept	VBD	keep
awake	JJ	awake
few	JJ	few
minutes	NNS	minute
thanks	NNS	thank
trebek	NP	Trebek
