this	DT	this
absolutely	RB	absolutely
worst	JJS	bad
piece	NN	piece
crap	NN	crap
i	NNS	i
've	VBP	have
watch	VB	watch
actually	RB	actually
bad	JJ	bad
just	RB	just
watch	VBP	watch
happy	JJ	happy
cgi	NN	<unknown>
sooo	NP	sooo
bad	JJ	bad
it	PP	it
's	VBZ	be
fun	NN	fun
it	PP	it
's	VBZ	be
not	RB	not
close	JJ	close
shitty	JJ	shitty
cgi	NN	<unknown>
animations	NNS	animation
spawn	NN	spawn
that	WDT	that
's	VBZ	be
bad	JJ	bad
har	NP	<unknown>
har	NP	<unknown>
har	NP	<unknown>
i	NP	i
'm	VBP	be
amazed	VBN	amaze
fact	NN	fact
distribution	NN	distribution
company	NN	company
actually	RB	actually
money	NN	money
release	NN	release
dvd	NNS	<unknown>
but	CC	but
guess	VBP	guess
they	PP	they
'll	MD	will
more	RBR	more
money	NN	money
way	NN	way
'	POS	'
cos	NN	cos
cost	NN	cost
making	VBG	make
not	RB	not
more	JJR	more
than	IN	than
few	JJ	few
dollars	NNS	dollar
it	PP	it
's	VBZ	be
awful	JJ	awful
kindergarten	NN	kindergarten
class	NN	class
laugh	NN	laugh
