what	WP	what
left	RB	left
say	VBP	say
i	NNS	i
've	VBP	have
read	VBN	read
all	DT	all
reviews	NNS	review
most	RBS	most
right	RB	right
however	RB	however
person	NN	person
went	VBD	go
far	RB	far
as	IN	as
evil	JJ	evil
satan	JJ	<unknown>
tainted	JJ	tainted
lines	NNS	line
evil	JJ	evil
wow	NN	wow
shocker	NN	shocker
mean	VBP	mean
tbn	NNS	<unknown>
basically	RB	basically
film	VBP	film
open	JJ	open
eyes	NNS	eye
anway	RB	<unknown>
very	RB	very
lowest	JJS	low
grade	NN	grade
propoghanda	NN	<unknown>
nonsense	NN	nonsense
come	VBP	come
years	NNS	year
most	JJS	most
terrifying	JJ	terrifying
thing	NN	thing
omega	NN	omega
code	NN	code
much	JJ	much
money	NN	money
spent	VBD	spend
make	VB	make
no	DT	no
limits	NNS	limit
therefore	RB	therefore
no	DT	no
choice	NN	choice
but	CC	but
ready	JJ	ready
"	''	"
yentl	NN	<unknown>
2	CD	2
"	''	"
"	``	"
ernest	NN	<unknown>
loses	VBZ	lose
omega	NN	omega
codes	NNS	code
"	''	"
for	IN	for
biblical	JJ	biblical
stories	NNS	storey
new	JJ	new
dogma	NN	dogma
pickup	NN	pickup
omega	NN	omega
code	NN	code
never	RB	never
started	VBD	start
