where	WRB	where
start	NN	start
film	NN	film
started	VBD	start
pretty	RB	pretty
well	RB	well
but	CC	but
30	CD	@card@
min	NN	min
mark	NN	mark
caught	VBD	catch
myself	PP	myself
watching	VBG	watch
clock	NN	clock
horror	NN	horror
start	NN	start
film	NN	film
good	NN	good
but	CC	but
story	NN	story
kicked	VBD	kick
just	RB	just
got	VBN	get
stupider	JJR	stupid
stupider	JJR	stupid
as	IN	as
time	NN	time
ticked	VBN	tick
actors	NNS	actor
gave	VBD	give
average	JJ	average
performance	NN	performance
however	RB	however
got	VBD	get
bit	NN	bit
bored	JJ	bored
vinny	NN	Vinny
jones	NNS	<unknown>
constant	JJ	constant
scowling	VBG	scowl
film	NN	film
as	IN	as
film	NN	film
dragged	VBD	drag
word	NN	word
it	PP	it
dragged	VBD	drag
just	RB	just
got	VBD	get
more	RBR	more
more	RBR	more
far	RB	far
fetched	VBN	fetch
spoiler	NN	spoiler
alert	NN	alert
spoiler	NN	spoiler
alert	JJ	alert
spoiler	NN	spoiler
alert	NN	alert
just	RB	just
thought	VBD	think
film	NN	film
not	RB	not
any	DT	any
worse	JJR	bad
end	NN	end
loads	NNS	load
skeleton	NN	skeleton
looking	VBG	look
monsters	NNS	monster
turned	VBD	turn
up	RB	up
just	RB	just
eat	VB	eat
dead	JJ	dead
people	NNS	people
no	RB	no
sense	VBP	sense
all	DT	all
turned	VBN	turn
sort	NN	sort
flesh	NN	flesh
eating	VBG	eat
cult	NN	cult
good	JJ	good
guys	NNS	guy
die	VBP	die
end	NN	end
ending	VBG	end
fact	NN	fact
just	RB	just
laugh	VB	laugh
bad	JJ	bad
lead	NN	lead
role	NN	role
disposes	VBZ	dispose
vinny	NN	Vinny
jones	NNS	<unknown>
new	JJ	new
killer	NN	killer
closing	NN	closing
film	NN	film
creep	VBP	creep
look	VB	look
like	IN	like
best	JJS	good
horror	NN	horror
film	NN	film
gave	VBD	give
1	CD	1
star	NN	star
female	JJ	female
lead	NN	lead
did	VBD	do
pretty	RB	pretty
good	JJ	good
job	NN	job
but	CC	but
not	RB	not
save	VB	save
train	NN	train
wreck	NN	wreck
