this	DT	this
video	NN	video
contains	VBZ	contain
outsmart	VB	outsmart
way	NN	way
confuse	VB	confuse
manipulate	VB	manipulate
americans	NNS	American
islam	NN	Islam
it	PP	it
's	VBZ	be
pity	NN	pity
people	NNS	people
did	VBD	do
really	RB	really
believe	VB	believe
american	JJ	American
people	NNS	people
dumb	JJ	dumb
believe	VBP	believe
as	IN	as
american	JJ	American
citizen	NN	citizen
person	NN	person
protest	NN	protest
against	IN	against
kind	NN	kind
crap	NN	crap
want	VBP	want
know	VB	know
truth	NN	truth
islam	NN	Islam
do	VBP	do
n't	RB	n't
let	VB	let
nobody	NN	nobody
tell	VB	tell
quran	JJ	<unknown>
public	NN	public
read	VBD	read
decide	VB	decide
say	VB	say
it	PP	it
's	POS	's
true	JJ	true
false	JJ	false
video	NN	video
uses	VBZ	use
lot	RB	lot
audiovisual	JJ	audiovisual
strategies	NNS	strategy
directed	VBD	direct
manipulate	VB	manipulate
associate	NN	associate
things	NNS	thing
not	RB	not
related	VBN	relate
music	NN	music
used	VBD	use
points	NNS	point
prepare	VB	prepare
public	JJ	public
hate	NN	hate
they	PP	they
do	VBP	do
n't	RB	n't
really	RB	really
understand	VB	understand
what	WP	what
's	VBZ	be
going	VBG	go
use	NN	use
images	NNS	image
misplaced	VBD	misplace
original	JJ	original
content	JJ	content
end	NN	end
comment	NN	comment
like	IN	like
make	NN	make
reflexion	NN	reflexion
do	VBP	do
n't	RB	n't
think	VB	think
exact	JJ	exact
religion	NN	religion
world	NN	world
