this	DT	this
directed	VBN	direct
renny	NN	<unknown>
harlin	NN	<unknown>
finnish	JJ	Finnish
miracle	NN	miracle
stallone	NN	<unknown>
gabe	NN	<unknown>
walker	NN	walker
cat	NN	cat
mouse	NN	mouse
mountains	NNS	mountain
ruthless	JJ	ruthless
terrorists	NNS	terrorist
renny	NN	<unknown>
harlin	NN	<unknown>
knows	VBZ	know
direct	JJ	direct
actionmovie	NN	<unknown>
stallone	NN	<unknown>
needed	VBD	need
role	NN	role
track	NN	track
snowy	JJ	snowy
mountain	NN	mountain
very	RB	very
good	JJ	good
place	NN	place
action	NN	action
better	RBR	well
direct	JJ	direct
snow	NN	snow
ice	NN	ice
cold	JJ	cold
bad	JJ	bad
weather	NN	weather
than	IN	than
finnish	JJ	Finnish
man	NN	man
action	NN	action
good	JJ	good
music	NN	music
film	NN	film
spectacular	JJ	spectacular
bad	JJ	bad
guy	NN	guy
john	NN	john
litghow	NN	<unknown>
stars	VBZ	star
micheal	JJ	<unknown>
rooker	NN	<unknown>
portrait	NN	portrait
serialkiller	NN	<unknown>
janine	NN	<unknown>
turner	NN	turner
strong	JJ	strong
medicine	NN	medicine
placed	VBD	place
beautiful	JJ	beautiful
place	NN	place
very	RB	very
exciting	JJ	exciting
overall	JJ	overall
good	NN	good
remember	VB	remember
extreme	JJ	extreme
lit	VBN	light
special	JJ	special
collectors	NNS	collector
edition	NN	edition
good	JJ	good
extras	NNS	extra
comig	NN	<unknown>
soon	RB	soon
finland	JJ	<unknown>
straight	JJ	straight
video	NN	video
