it	PP	it
not	RB	not
considered	VBD	consider
interesting	JJ	interesting
reason	NN	reason
really	RB	really
checked	VBD	check
place	NN	place
wanted	VBD	want
performance	NN	performance
man	NN	man
beat	VBD	beat
humphrey	JJ	<unknown>
bogart	NN	<unknown>
casablanca	NN	<unknown>
10	CD	@card@
10	CD	@card@
role	NN	role
best	JJS	good
actor	NN	actor
oscar	NN	oscar
still	RB	still
given	VBN	give
oscar	NN	oscar
bogie	NN	bogie
but	CC	but
paul	NN	<unknown>
lukas	NNS	<unknown>
did	VBD	do
great	JJ	great
job	NN	job
deserved	VBD	deserve
nomination	NN	nomination
least	RBS	least
well	RB	well
i	NP	i
'm	VBP	be
glad	JJ	glad
did	VBD	do
check	NN	check
enjoyed	VBD	enjoy
immensely	RB	immensely
think	VB	think
did	VBD	do
preach	VB	preach
little	RB	little
but	CC	but
not	RB	not
did	VBD	do
not	RB	not
mind	VB	mind
enjoyed	VBN	enjoy
speeches	NNS	speech
never	RB	never
bored	VBD	bore
acting	VBG	act
outstanding	JJ	outstanding
especially	RB	especially
enjoyed	VBN	enjoy
paul	NN	<unknown>
lukas	NNS	<unknown>
lucile	JJ	<unknown>
watson	NN	<unknown>
rightfully	RB	rightfully
nominated	VBD	nominate
oscar	NN	oscar
bette	NN	<unknown>
davis	NNS	<unknown>
wrongfully	RB	wrongfully
not	RB	not
nominated	VBN	nominate
george	NN	<unknown>
coulouris	NNS	<unknown>
oddly	RB	oddly
eric	NN	eric
roberts	NNS	<unknown>
plays	VBZ	play
middle	JJ	middle
child	NN	child
really	RB	really
enjoyed	VBD	enjoy
character	NN	character
odd	JJ	odd
looking	VBG	look
boy	NN	boy
talks	NNS	talk
like	IN	like
sort	NN	sort
philosopher	NN	philosopher
just	RB	just
cracks	VBZ	crack
up	RP	up
characters	NNS	character
bodo	NN	<unknown>
funny	JJ	funny
ending	VBG	end
lukas	NNS	<unknown>
's	POS	's
character	NN	character
forced	VBD	force
considered	VBN	consider
wrong	JJ	wrong
though	IN	though
doing	VBG	do
all	DT	all
right	JJ	right
reasons	NNS	reason
worked	VBN	work
as	IN	as
well	RB	well
agreed	VBN	agree
felt	NN	felt
did	VBD	do
understood	VBN	understand
could	MD	could
n't	RB	n't
quite	RB	quite
explain	VB	explain
message	NN	message
makes	VBZ	make
good	JJ	good
noble	JJ	noble
scenery	NN	scenery
meaning	VBG	mean
house	NN	house
beautiful	JJ	beautiful
acting	VBG	act
excellent	JJ	excellent
watch	NN	watch
chance	NN	chance
9	CD	9
10	CD	@card@
