when	WRB	when
tell	VBP	tell
people	NNS	people
review	VB	review
as	IN	as
hobby	NN	hobby
thing	NN	thing
say	VBP	say
"	``	"
what	WP	what
think	VBP	think
such	JJ	such
"	``	"
couple	NN	couple
problems	NNS	problem
firstly	RB	firstly
probable	JJ	probable
chance	NN	chance
i	NNS	i
've	VBP	have
not	RB	not
seen	VBN	see
thus	RB	thus
ruin	VB	ruin
reputation	NN	reputation
secondly	RB	secondly
trash	NN	trash
question	NN	question
realising	VBG	realise
it	PP	it
's	VBZ	be
actually	RB	actually
favourite	JJ	favourite
lastly	RB	lastly
given	VBN	give
dvds	NNS	<unknown>
watch	VBP	watch
judge	NN	judge
opinion	NN	opinion
thus	RB	thus
myself	PP	myself
sat	VBD	sit
"	``	"
the	DT	the
convent	NN	convent
"	``	"
sort	NN	sort
film	NN	film
ignore	VBP	ignore
completely	RB	completely
given	VBN	give
choice	NN	choice
but	CC	but
unable	JJ	unable
avoid	VBP	avoid
more	JJR	more
's	VBZ	be
pity	NN	pity
frankly	RB	frankly
dreadful	JJ	dreadful
"	``	"
horror	NN	horror
"	''	"
as	IN	as
scary	JJ	scary
as	IN	as
box	NN	box
kittens	NNS	kitten
following	VBG	follow
well	RB	well
worn	JJ	worn
clichs	NNS	<unknown>
"	''	"
the	DT	the
convent	NN	convent
"	``	"
focuses	VBZ	focus
bunch	NN	bunch
american	NN	American
high	JJ	high
school	NN	school
students	NNS	student
trip	NN	trip
abandoned	VBD	abandon
convent	NN	convent
mission	NN	mission
stoned	VBN	stone
laid	VBD	lay
mildly	RB	mildly
spooked	VBN	spook
but	CC	but
you	PP	you
'll	MD	will
never	RB	never
guess	NN	guess
happens	VBZ	happen
group	NN	group
cannibalistic	JJ	cannibalistic
demonic	JJ	demonic
nuns	NNS	nun
emerge	VBP	emerge
cobwebs	NNS	cobweb
proceed	VB	proceed
pick	VB	pick
kids	NNS	kid
one	CD	one
classic	JJ	classic
horror	NN	horror
tradition	NN	tradition
any	DT	any
survive	VBP	survive
more	RBR	more
importantly	RB	importantly
have	VBP	have
n't	RB	n't
got	VBN	get
better	JJR	good
things	NNS	thing
worry	VBP	worry
thing	NN	thing
saves	VBZ	save
"	``	"
the	DT	the
convent	NN	convent
"	``	"
total	JJ	total
waste	NN	waste
time	NN	time
fact	NN	fact
nobody	NN	nobody
really	RB	really
taking	VBG	take
tosh	NN	tosh
seriously	RB	seriously
exception	NN	exception
coolio	NN	<unknown>
's	POS	's
bizarre	JJ	bizarre
cameo	NN	cameo
as	IN	as
hyperactive	JJ	hyperactive
cop	NN	cop
itchy	JJ	itchy
trigger	NN	trigger
finger	NN	finger
it	PP	it
's	VBZ	be
far	RB	far
too	RB	too
amusing	JJ	amusing
properly	RB	properly
frightening	JJ	frightening
zombie	NN	zombie
cheerleader	NN	cheerleader
makes	VBZ	make
chipmunk	NN	chipmunk
noises	NNS	noise
no	DT	no
reason	NN	reason
day	NN	day
glo	NN	<unknown>
paint	NN	paint
jobs	NNS	job
appears	VBZ	appear
zombie	NN	zombie
but	CC	but
really	RB	really
kills	VBZ	kill
as	IN	as
horror	NN	horror
fact	NN	fact
instantly	RB	instantly
tell	VB	tell
going	VBG	go
jump	NN	jump
messily	RB	messily
murdered	VBN	murder
but	CC	but
trying	VBG	try
still	RB	still
doubt	NN	doubt
work	NN	work
demonic	JJ	demonic
nuns	NNS	nun
wearing	VBG	wear
sort	NN	sort
make	VBP	make
up	RB	up
you	PP	you
'd	MD	will
"	``	"
buffy	VB	<unknown>
vampire	NN	vampire
slayer	NN	slayer
"	''	"
tv	NN	tv
are	VBP	be
n't	RB	n't
really	RB	really
scary	JJ	scary
scariest	JJS	scary
thing	NN	thing
really	RB	really
10	CD	@card@
%	NN	%
voters	NNS	voter
gave	VBD	give
maximum	JJ	maximum
score	NN	score
mean	NN	mean
know	VBP	know
it	PP	it
's	VBZ	be
funny	JJ	funny
but	CC	but
hardly	RB	hardly
split	VBN	split
sides	NNS	side
honest	JJ	honest
i	NP	i
've	VBP	have
more	JJR	more
fun	NN	fun
dentist	NN	dentist
"	``	"
the	DT	the
convent	NN	convent
"	``	"
is	VBZ	be
n't	RB	n't
really	RB	really
horror	NN	horror
as	IN	as
it	PP	it
's	VBZ	be
more	JJR	more
comedy	NN	comedy
horror	NN	horror
like	IN	like
"	``	"
scary	JJ	scary
movie	NN	movie
"	''	"
"	``	"
shaun	JJ	<unknown>
dead	NN	dead
"	''	"
but	CC	but
you	PP	you
're	VBP	be
laughing	VBG	laugh
instead	RB	instead
honestly	RB	honestly
ca	MD	ca
n't	RB	n't
recommend	VB	recommend
anybody	NN	anybody
except	IN	except
family	NN	family
cast	NN	cast
crew	NN	crew
but	CC	but
doubt	NN	doubt
very	RB	very
much	RB	much
they	PP	they
'd	MD	will
enjoy	VB	enjoy
do	VB	do
n't	RB	n't
enjoy	VB	enjoy
"	``	"
so	RB	so
bad	JJ	bad
it	PP	it
's	VBZ	be
good	JJ	good
"	''	"
genre	NN	genre
personally	RB	personally
feel	VBP	feel
film	NN	film
makers	NNS	maker
ca	MD	ca
n't	RB	n't
bothered	VBN	bother
salvage	NN	salvage
turkey	NN	turkey
should	MD	should
n't	RB	n't
bust	VB	bust
gut	NN	gut
trying	VBG	try
watch	VB	watch
yes	UH	yes
it	PP	it
's	VBZ	be
bad	JJ	bad
film	NN	film
yes	RB	yes
really	RB	really
gone	VBN	go
home	RB	home
more	RBR	more
constructive	JJ	constructive
rubik	NN	<unknown>
's	POS	's
cube	NN	cube
example	NN	example
dvd	NN	<unknown>
box	NN	box
price	NN	price
stickers	NNS	sticker
4	CD	4
99	CD	@card@
reduced	VBN	reduce
price	NN	price
3	CD	3
but	CC	but
sold	VBD	sell
1	CD	1
tell	NN	tell
you	PP	you
need	MD	need
know	VB	know
poxy	NN	<unknown>
cheap	RB	cheap
awesomely	RB	awesomely
bad	JJ	bad
flick	NN	flick
sorry	JJ	sorry
like	IN	like
but	CC	but
"	``	"
the	DT	the
convent	NN	convent
"	``	"
really	RB	really
pile	VB	pile
unholy	JJ	unholy
crap	NN	crap
