this	DT	this
got	VBN	get
unique	JJ	unique
twists	NNS	twist
genres	NNS	genre
seen	VBN	see
giant	JJ	giant
monster	NN	monster
genre	NN	genre
living	VBG	live
mummy	NN	mummy
genre	NN	genre
unique	JJ	unique
blend	NN	blend
makes	VBZ	make
unique	JJ	unique
compelling	JJ	compelling
story	NN	story
casts	VBZ	cast
outstanding	JJ	outstanding
including	VBG	include
tom	NN	tom
bosley	NN	<unknown>
as	IN	as
far	RB	far
as	RB	as
know	VB	know
never	RB	never
horror	NN	horror
effects	NNS	effect
impressive	JJ	impressive
idea	NN	idea
giant	NN	giant
mummy	NN	mummy
filled	VBD	fill
smaller	JJR	small
mummies	NNS	mummy
cool	JJ	cool
one	CD	one
complaint	NN	complaint
just	RB	just
wish	VBP	wish
saw	VBD	see
more	JJR	more
giant	JJ	giant
mummy	NN	mummy
but	CC	but
think	VBP	think
did	VBD	do
great	JJ	great
job	NN	job
dialog	NN	dialog
characters	NNS	character
story	NN	story
perfect	JJ	perfect
acting	JJ	acting
wonderful	JJ	wonderful
got	VBD	get
best	RBS	well
come	VBN	come
sci	NN	<unknown>
fi	NN	<unknown>
channel	NN	channel
heard	VBN	hear
best	JJS	good
come	VBN	come
sci	NN	<unknown>
fi	NNS	<unknown>
channel	VBP	channel
fallen	VBN	fall
ones	NNS	one
9	CD	9
10	CD	@card@
