this	DT	this
advertised	JJ	advertised
radio	NN	radio
television	NN	television
magazines	NNS	magazine
almost	RB	almost
hour	NN	hour
issue	NN	issue
went	VBD	go
kinnepolis	NN	<unknown>
multiplex	NN	multiplex
expectations	NNS	expectation
very	RB	very
high	JJ	high
but	CC	but
oh	UH	oh
boy	UH	boy
sad	JJ	sad
movie	NN	movie
hollywood	NN	<unknown>
style	NN	style
movie	NN	movie
shades	NNS	shade
shows	VBZ	show
clear	JJ	clear
are	VBP	be
n't	RB	n't
ready	JJ	ready
produce	NN	produce
'	POS	'
big	JJ	big
hollywood	NN	<unknown>
movies	NNS	movie
'	''	'
not	RB	not
critic	NN	critic
but	CC	but
think	VB	think
good	JJ	good
starts	NNS	start
good	JJ	good
script	NN	script
script	NN	script
nightmare	NN	nightmare
like	IN	like
subject	JJ	subject
line	NN	line
says	VBZ	say
nothing	NN	nothing
looped	VBD	loop
just	RB	just
stare	VB	stare
television	NN	television
as	IN	as
well	RB	well
really	RB	really
seeing	VBG	see
feeling	NN	feeling
we	PP	we
've	VBP	have
got	VBN	get
saw	NN	saw
shades	NNS	shade
shades	VBZ	shade
bad	JJ	bad
production	NN	production
