this	DT	this
deserves	VBZ	deserve
more	JJR	more
than	IN	than
1	CD	1
but	CC	but
i	NP	i
'm	VBP	be
giving	VBG	give
many	JJ	many
fricken	JJ	<unknown>
fan	NN	fan
boys	NNS	boy
given	VBN	give
10	CD	@card@
resulting	JJ	resulting
getting	VBG	get
rating	NN	rating
that	WDT	that
'll	MD	will
top	VB	top
100	CD	@card@
list	NN	list
seriously	RB	seriously
it	PP	it
's	VBZ	be
not	RB	not
great	JJ	great
not	RB	not
bad	JJ	bad
stupid	JJ	stupid
cult	NN	cult
classic	JJ	classic
many	JJ	many
fricken	JJ	<unknown>
fan	NN	fan
boys	NNS	boy
it	PP	it
's	VBZ	be
ridiculous	JJ	ridiculous
types	NNS	type
probably	RB	probably
still	RB	still
laugh	VB	laugh
chuck	NN	chuck
norris	NN	<unknown>
jokes	NNS	joke
still	RB	still
say	VBP	say
"	``	"
i	NP	i
'm	VBP	be
rick	NN	rick
james	NNS	<unknown>
b	SYM	b
tch	JJ	<unknown>
"	``	"
no	UH	no
matter	VB	matter
old	JJ	old
annoying	VBG	annoy
gets	VBZ	get
dread	VB	dread
having	VBG	have
hear	VB	hear
"	``	"
i	NP	i
'm	VBP	be
tired	JJ	tired
mfn	NN	<unknown>
snakes	VBZ	snake
mfn	NN	<unknown>
plane	NN	plane
"	''	"
months	NNS	month
idiots	NNS	idiot
trying	VBG	try
funny	JJ	funny
crappy	JJ	<unknown>
plot	NN	plot
crap	NN	crap
acting	VBG	act
okay	JJ	okay
love	NN	love
bad	JJ	bad
but	CC	but
still	RB	still
gotta	VBN	gotta
admit	VBP	admit
bad	RB	bad
wait	VB	wait
marine	JJ	marine
starring	VBG	star
john	NN	john
cena	NNS	<unknown>
wanna	VBP	wanna
real	JJ	real
movie	NN	movie
