this	DT	this
not	RB	not
entertainment	NN	entertainment
not	RB	not
want	VBP	want
to	TO	to
pass	VB	pass
time	NN	time
genuinely	RB	genuinely
display	VBP	display
true	JJ	true
love	NN	love
come	VBN	come
god	NN	god
cannot	MD	can
help	VB	help
but	CC	but
touched	VBD	touch
deeply	RB	deeply
looking	VBG	look
dimensions	NNS	dimension
love	NN	love
contributes	VBZ	contribute
value	NN	value
divine	NN	divine
love	NN	love
god	NN	god
beautifully	RB	beautifully
portrayed	VBD	portray
god	NN	god
's	POS	's
love	NN	love
transcends	VBZ	transcend
heart	NN	heart
mind	NN	mind
endures	VBZ	endure
eternal	JJ	eternal
love	NN	love
marriage	NN	marriage
while	IN	while
main	JJ	main
character	NN	character
grapples	VBZ	grapple
wife	NN	wife
's	POS	's
disease	NN	disease
realizes	VBZ	realize
god	NN	god
's	POS	's
love	NN	love
loves	VBZ	love
wife	NN	wife
more	RBR	more
than	IN	than
imagine	VBP	imagine
knows	VBZ	know
wife	NN	wife
never	RB	never
separated	VBD	separate
finally	RB	finally
love	VB	love
child	NN	child
parent	NN	parent
kids	NNS	kid
family	NN	family
come	VBP	come
realize	VB	realize
nothing	NN	nothing
matters	NNS	matter
except	IN	except
love	NN	love
conquers	VBZ	conquer
fear	VB	fear
dear	JJ	dear
friends	NNS	friend
love	VBP	love
not	RB	not
love	VB	love
unless	IN	unless
comes	VBZ	come
god	NN	god
god	NN	god
love	NN	love
love	NN	love
comes	VBZ	come
god	NN	god
talk	NN	talk
let	VBD	let
know	VB	know
love	NN	love
love	NN	love
does	VBZ	do
no	RB	no
good	JJ	good
unless	IN	unless
given	JJ	given
pray	VBP	pray
inspire	VB	inspire
change	NN	change
lives	NNS	life
sees	VBZ	see
amen	NN	amen
