when	WRB	when
read	VBP	read
armistead	NN	<unknown>
maupins	NNS	<unknown>
story	NN	story
taken	VBN	take
human	JJ	human
drama	NN	drama
displayed	VBD	display
gabriel	NN	<unknown>
no	RB	no
cares	VBZ	care
loves	NNS	love
said	VBD	say
given	VBN	give
film	NN	film
version	NN	version
excellent	JJ	excellent
story	NN	story
expected	VBN	expect
past	JJ	past
gloss	NN	gloss
hollywood	NN	<unknown>
writer	NN	writer
armistead	NN	<unknown>
maupin	NN	<unknown>
director	NN	director
patrick	NN	<unknown>
stettner	NN	<unknown>
truly	RB	truly
succeeded	VBD	succeed
just	RB	just
right	JJ	right
restraint	NN	restraint
robin	NN	robin
williams	NP	Williams
captures	VBZ	capture
fragile	JJ	fragile
essence	NN	essence
gabriel	NN	<unknown>
lets	VBZ	let
struggle	NN	struggle
issues	NNS	issue
trust	VBP	trust
personnel	JJ	personnel
life	NN	life
jess	NN	jess
world	NN	world
donna	NN	<unknown>
as	IN	as
introduced	VBN	introduce
players	NNS	player
drama	NN	drama
reminded	VBD	remind
nothing	NN	nothing
as	IN	as
smallest	JJS	small
event	NN	event
change	NN	change
lives	VBZ	live
irrevocably	RB	irrevocably
request	VB	request
review	NN	review
book	NN	book
written	VBN	write
young	JJ	young
man	NN	man
turns	VBZ	turn
life	NN	life
changing	NN	changing
event	NN	event
helps	VBZ	help
gabriel	NN	<unknown>
strength	NN	strength
himself	PP	himself
carry	VBP	carry
forward	RB	forward
it	PP	it
's	POS	's
bad	JJ	bad
most	JJS	most
people	NNS	people
avoid	VBP	avoid
film	NN	film
say	VBP	say
average	JJ	average
american	NN	American
probably	RB	probably
think	VBP	think
"	``	"
robin	NN	robin
williams	VBZ	<unknown>
serious	JJ	serious
role	NN	role
did	VBD	do
n't	RB	n't
work	VB	work
"	``	"
chance	NN	chance
robin	NN	robin
williams	NP	Williams
touches	VBZ	touch
darkness	NN	darkness
all	DT	all
better	JJR	good
people	NNS	people
like	IN	like
hour	NN	hour
photo	NN	photo
stepped	VBD	step
up	RP	up
as	IN	as
actor	NN	actor
quality	NN	quality
piece	NN	piece
art	NN	art
oh	UH	oh
forget	VB	forget
believe	VB	believe
bobby	NN	bobby
cannavale	NNS	<unknown>
as	IN	as
jess	NN	jess
steals	VBZ	steal
scene	NN	scene
1940	NP	@card@
's	POS	's
leading	VBG	lead
man	NN	man
looks	VBZ	look
screen	NN	screen
presence	NN	presence
it	PP	it
's	VBZ	be
hacks	NNS	hack
opinion	NN	opinion
carry	VBP	carry
right	JJ	right
s~	NN	<unknown>
