i	NP	i
actor	NN	actor
producer	NN	producer
director	NN	director
say	VBP	say
facts	NNS	fact
project	VBP	project
worst	JJS	bad
film	NN	film
making	VBG	make
history	NN	history
producer	NN	producer
director	NN	director
edit	VB	edit
called	VBN	call
film	NN	film
joke	NN	joke
mean	VBP	mean
big	JJ	big
joke	NN	joke
blockbuster	NN	blockbuster
released	VBD	release
crap	NN	crap
work	NN	work
very	RB	very
serious	JJ	serious
film	NN	film
insult	NN	insult
profession	NN	profession
director	NN	director
trying	VBG	try
make	VB	make
bad	JJ	bad
do	VBP	do
n't	RB	n't
think	VB	think
seen	VBN	see
bad	JJ	bad
zombie	NN	zombie
but	CC	but
takes	VBZ	take
cake	NN	cake
coffie	NN	<unknown>
damn	NN	damn
table	NN	table
sucks	VBZ	suck
really	RB	really
hate	VB	hate
talk	VB	talk
bad	JJ	bad
filmmakers	NNS	filmmaker
myself	PP	myself
but	CC	but
consider	VB	consider
taking	VBG	take
up	RP	up
different	JJ	different
profession	NN	profession
respect	NN	respect
fact	NN	fact
completed	VBD	complete
but	RB	but
ask	VB	ask
"	``	"
smoking	NN	smoking
crack	NN	crack
"	``	"
mean	JJ	mean
makeup	NN	makeup
girls	NNS	girl
scary	JJ	scary
zombies	NNS	zombie
thinking	VBG	think
whole	JJ	whole
nation	NN	nation
voted	VBD	vote
zero	CD	zero
worst	JJS	bad
film	NN	film
making	VBG	make
history	NN	history
