what	WP	what
worst	VBP	worst
2003	CD	@card@
"	``	"
cat	NN	cat
hat	NN	hat
"	''	"
"	``	"
gigli	NN	<unknown>
"	''	"
mais	NNS	<unknown>
non	JJ	non
propose	VBP	propose
atrocious	JJ	atrocious
little	JJ	little
film	NN	film
earlier	RBR	earlier
year	NN	year
badly	RB	badly
written	VBN	write
badly	RB	badly
edited	VBN	edit
bold	JJ	bold
badly	RB	badly
acted	VBN	act
"	``	"
the	DT	the
order	NN	order
"	``	"
black	JJ	black
hole	NN	hole
film	NN	film
dense	JJ	dense
not	RB	not
slightest	JJS	slight
bit	NN	bit
entertainment	NN	entertainment
escape	NN	escape
event	NN	event
horizon	NN	horizon
suck	VBP	suck
is	VBZ	be
n't	RB	n't
accidentally	RB	accidentally
funny	JJ	funny
like	IN	like
example	NN	example
"	``	"
showgirls	NNS	showgirl
"	''	"
you	PP	you
know	VBP	know
producers	NNS	producer
assuming	VBG	assume
audience	NN	audience
is	VBZ	be
n't	RB	n't
going	VBG	go
very	RB	very
smart	RB	smart
renamed	VBN	rename
originally	RB	originally
titled	VBN	title
"	``	"
the	DT	the
sin	NN	sin
eaters	NNS	eater
"	``	"
figured	VBD	figure
americans	NNS	American
too	RB	too
stupid	JJ	stupid
understand	VBP	understand
sin	NN	sin
eater	NN	eater
though	IN	though
great	JJ	great
lengths	NNS	length
explain	VBP	explain
sin	NN	sin
eater	NN	eater
instead	RB	instead
figure	VBP	figure
utterly	RB	utterly
generic	JJ	generic
title	NN	title
picture	NN	picture
heath	NN	heath
ledger	NN	ledger
looking	VBG	look
sullen	JJ	sullen
more	JJR	more
than	IN	than
enough	JJ	enough
hey	UH	hey
know	VB	know
right	JJ	right
ex	JJ	ex
girlfriend	NN	girlfriend
saw	VBD	see
picture	NN	picture
heath	NN	heath
dragged	VBD	drag
congratulations	NN	congratulations
producers	NNS	producer
you	PP	you
've	VBP	have
met	VBN	meet
target	NN	target
market	NN	market
liked	VBD	like
"	``	"
grease	NN	grease
ii	NN	<unknown>
"	``	"
you	PP	you
're	VBP	be
good	JJ	good
company	NN	company
topic	NN	topic
heath	NN	heath
plays	VBZ	play
catholic	JJ	catholic
monk	NN	monk
specific	NN	specific
guessed	VBD	guess
order	NN	order
trying	VBG	try
investigate	VB	investigate
murder	NN	murder
mentor	NN	mentor
celibacy	NN	celibacy
issues	NNS	issue
possibly	RB	possibly
nobody	NN	nobody
right	NN	right
mind	NN	mind
believe	VBP	believe
knew	VBD	know
slightest	JJS	slight
thing	NN	thing
religion	NN	religion
much	RB	much
less	JJR	less
celibate	NN	celibate
monk	NN	monk
member	NN	member
order	NN	order
funny	JJ	funny
alcoholic	JJ	alcoholic
fat	JJ	fat
guy	NN	guy
as	IN	as
much	JJ	much
as	IN	as
i	NP	i
've	VBP	have
wanted	VBN	want
return	VB	return
funny	JJ	funny
alcoholic	JJ	alcoholic
big	JJ	big
screen	NN	screen
attempts	NNS	attempt
humor	NN	humor
reminded	VBD	remind
all	DT	all
dorks	NNS	<unknown>
high	JJ	high
school	NN	school
did	VBD	do
imitations	NNS	imitation
monty	JJ	<unknown>
python	NN	python
thinking	NN	thinking
just	RB	just
said	VBD	say
lines	NNS	line
like	IN	like
pythons	NNS	python
did	VBD	do
automatically	RB	automatically
funny	JJ	funny
know	VBP	know
sort	NN	sort
people	NNS	people
i	NNS	i
'm	VBP	be
talking	VBG	talk
utter	JJ	utter
any	DT	any
more	JJR	more
danger	NN	danger
generating	VBG	generate
spoilers	NNS	spoiler
frankly	RB	frankly
thing	NN	thing
spoiled	JJ	spoiled
fact	NN	fact
created	VBN	create
