i	NP	i
ca	MD	ca
n't	RB	n't
believe	VB	believe
managed	VBN	manage
relatively	RB	relatively
high	JJ	high
rating	NN	rating
6	CD	6
barely	RB	barely
watchable	JJ	watchable
unbelievably	RB	unbelievably
boring	VBG	bore
certainly	RB	certainly
worst	JJS	bad
films	NNS	film
seen	VBN	see
long	JJ	long
long	JJ	long
time	NN	time
no	DT	no
budget	NN	budget
way	NN	way
reminded	VBD	remind
star	JJ	star
wars	NNS	war
episodes	NNS	episode
ii	NN	<unknown>
sheer	JJ	sheer
impression	NN	impression
watching	VBG	watch
total	JJ	total
creative	JJ	creative
train	NN	train
wreck	NN	wreck
film	NN	film
avoided	VBD	avoid
all	DT	all
costs	NNS	cost
it	PP	it
's	VBZ	be
"	``	"
festival	NN	festival
films	NNS	film
"	``	"
pseudo	JJ	pseudo
intellectuals	NNS	intellectual
badly	JJ	badly
people	NNS	people
think	VBP	think
makes	VBZ	make
"	``	"
different	JJ	different
"	''	"
therefore	RB	therefore
good	JJ	good
bad	JJ	bad
film	NN	film
making	VBG	make
not	RB	not
"	``	"
different	JJ	different
"	''	"
it	PP	it
's	VBZ	be
just	RB	just
bad	JJ	bad
film	NN	film
making	VBG	make
