i	NP	i
love	NN	love
film	NN	film
it	PP	it
's	VBZ	be
watch	NN	watch
again	RB	again
again	RB	again
acted	VBN	act
well	RB	well
good	JJ	good
cast	NN	cast
does	VBZ	do
n't	RB	n't
try	VB	try
too	RB	too
hard	JJ	hard
star	NN	star
studded	VBD	stud
premise	NN	premise
newly	RB	newly
widowed	VBN	widow
housewife	NN	housewife
turns	VBZ	turn
selling	NN	selling
pot	NN	pot
make	VBP	make
ends	NNS	end
meet	VB	meet
americanised	JJ	<unknown>
turd	NN	turd
action	NN	action
thriller	NN	thriller
either	CC	either
killed	VBN	kill
film	NN	film
completely	RB	completely
film	NN	film
plays	VBZ	play
like	IN	like
ealing	VBG	<unknown>
comedy	NN	comedy
terrific	JJ	terrific
feel	VBP	feel
good	JJ	good
factor	NN	factor
worth	NN	worth
watching	VBG	watch
just	RB	just
scene	NN	scene
old	JJ	old
ladies	NNS	lady
box	NN	box
cornflakes	NNS	cornflakes
no	RB	no
that	WDT	that
's	VBZ	be
not	RB	not
spoiler	NN	spoiler
