what	WP	what
happened	VBD	happen
making	VBG	make
ended	VBN	end
up	RP	up
as	IN	as
total	JJ	total
mess	NN	mess
just	RB	just
year	NN	year
"	``	"
the	DT	the
breakfast	NN	breakfast
club	NN	club
"	``	"
brilliant	JJ	brilliant
many	JJ	many
actors	NNS	actor
as	IN	as
"	``	"
st	JJ	<unknown>
elmo	NN	<unknown>
's	POS	's
fire	NN	fire
"	``	"
way	NN	way
looked	VBD	look
acted	VBN	act
more	RBR	more
like	IN	like
still	RB	still
high	JJ	high
school	NN	school
misfits	NNS	misfit
but	CC	but
grip	NN	grip
discipline	NN	discipline
portraying	VBG	portray
roles	NNS	role
directing	VBG	direct
writing	VBG	write
person	NN	person
joel	NN	<unknown>
schumacher	NN	<unknown>
but	CC	but
schumacher	NN	<unknown>
given	VBN	give
"	``	"
the	DT	the
phantom	JJ	phantom
opera	NN	opera
"	''	"
"	``	"
phone	NN	phone
booth	NN	booth
"	''	"
"	''	"
a	DT	a
time	NN	time
kill	VB	kill
"	``	"
batman	NN	batman
"	''	"
batman	NN	batman
robin	NN	robin
"	''	"
"	''	"
batman	NN	batman
forever	RB	forever
"	''	"
range	VBP	range
good	JJ	good
great	JJ	great
directing	NN	directing
went	VBD	go
wrong	JJ	wrong
"	``	"
stef	NN	<unknown>
"	''	"
no	DT	no
genius	NN	genius
whatsoever	RB	whatsoever
no	DT	no
comedy	NN	comedy
worth	NN	worth
very	RB	very
far	RB	far
mark	VB	mark
truly	RB	truly
valuable	JJ	valuable
life	NN	life
example	NN	example
character	NN	character
wendy	NN	Wendy
rich	JJ	rich
little	JJ	little
girl	NN	girl
heart	NN	heart
good	JJ	good
help	NN	help
less	CC	less
fortunate	JJ	fortunate
played	VBN	play
mare	NN	mare
winningham	NN	<unknown>
reveals	VBZ	reveal
billy	NN	billy
unruly	JJ	unruly
slob	NN	slob
cheats	VBZ	cheat
wife	NN	wife
girlfriends	NNS	girlfriend
drinks	NNS	drink
far	RB	far
too	RB	too
much	RB	much
no	DT	no
sense	NN	sense
order	NN	order
life	NN	life
appropriately	RB	appropriately
played	VBD	play
rob	VB	rob
lowe	NP	Lowe
still	RB	still
virgin	JJ	virgin
billy	NN	billy
truly	RB	truly
challenge	VB	challenge
possible	JJ	possible
conquest	NN	conquest
but	CC	but
wendy	NN	Wendy
"	``	"
is	VBZ	be
not	RB	not
ready	JJ	ready
"	''	"
wendy	NN	Wendy
fact	NN	fact
not	RB	not
ready	JJ	ready
hard	RB	hard
believe	VBP	believe
clique	NN	clique
friends	NNS	friend
later	RBR	later
story	NN	story
billy	NN	billy
wife	NN	wife
left	VBD	leave
taken	VBN	take
child	NN	child
married	JJ	married
drawn	VBN	draw
strings	NNS	string
life	NN	life
billy	NN	billy
leaving	VBG	leave
new	JJ	new
york	VBP	york
deserting	VBG	desert
abandoning	VBG	abandon
all	DT	all
parental	JJ	parental
responsibility	NN	responsibility
baby	NN	baby
daughter	NN	daughter
convinces	VBZ	convince
wendy	JJ	<unknown>
virginity	NN	virginity
perfect	NN	perfect
"	''	"
going	VBG	go
away	RP	away
gift	NN	gift
"	''	"
wendy	NN	Wendy
works	NNS	work
as	IN	as
social	JJ	social
worker	NN	worker
helping	VBG	help
broken	VBN	break
families	NNS	family
not	RB	not
phased	VBN	phase
all	DT	all
despot	NN	despot
break	NN	break
thing	NN	thing
she	PP	she
gives	VBZ	give
loser	JJ	loser
leaving	VBG	leave
family	NN	family
friends	NNS	friend
schumacher	NN	<unknown>
frames	VBZ	frame
scene	NN	scene
as	IN	as
wonderful	JJ	wonderful
touching	JJ	touching
moment	NN	moment
many	DT	many
more	JJR	more
example	NN	example
exist	VBP	exist
complete	VB	complete
disconnect	VB	disconnect
real	JJ	real
value	NN	value
tossed	VBD	toss
overboard	RB	overboard
acts	NNS	act
look	VBP	look
like	IN	like
virtue	NN	virtue
suppose	VBP	suppose
say	VB	say
"	''	"
that	IN	that
80	CD	@card@
's	POS	's
"	''	"
but	CC	but
remember	VB	remember
"	''	"
80	CD	@card@
's	POS	's
"	``	"
men	NNS	man
began	VBD	begin
held	JJ	held
responsible	JJ	responsible
children	NNS	child
fathered	VBD	father
marriage	NN	marriage
think	VB	think
bad	JJ	bad
sync	NN	sync
really	RB	really
valuable	JJ	valuable
right	NN	right
as	IN	as
technique	NN	technique
not	RB	not
story	NN	story
terrible	JJ	terrible
as	IN	as
well	RB	well
disjointed	VBN	disjoint
feels	NNS	feel
like	IN	like
3	CD	3
hour	NN	hour
edited	VBD	edit
1	CD	1
hour	NN	hour
40	CD	@card@
minutes	NNS	minute
transitions	NNS	transition
jumps	VBZ	jump
time	NN	time
simply	RB	simply
not	RB	not
make	VB	make
sense	NN	sense
pick	VB	pick
up	RP	up
editing	VBG	edit
room	NN	room
floor	NN	floor
probably	RB	probably
flow	VBP	flow
much	RB	much
better	JJR	good
but	CC	but
still	RB	still
horrible	JJ	horrible
maybe	RB	maybe
schumacher	NN	<unknown>
better	RBR	well
stronger	JJR	strong
director	NN	director
1986	CD	@card@
maybe	RB	maybe
head	NN	head
came	VBD	come
writing	VBG	write
screenplay	NN	screenplay
st	NN	<unknown>
elmo	NN	<unknown>
's	VBZ	be
maybe	RB	maybe
group	NN	group
actors	NNS	actor
took	VBD	take
set	NN	set
went	VBD	go
way	NN	way
really	RB	really
think	VBP	think
happened	VBN	happen
