when	WRB	when
read	VBP	read
the	DT	the
dvd	JJ	<unknown>
case	NN	case
thought	NN	thought
sounded	VBD	sound
really	RB	really
interesting	JJ	interesting
mom	NN	mom
throw	NN	throw
pile	NN	pile
"	``	"
4	CD	4
20	CD	@card@
dollars	NNS	dollar
"	''	"
section	NN	section
blockbuster	NN	blockbuster
got	VBD	get
home	NN	home
popped	VBD	pop
minutes	NNS	minute
turning	VBG	turn
going	VBG	go
"	``	"
this	DT	this
sucks	VBZ	suck
let	NN	let
's	POS	's
"	``	"
i	NP	i
'll	MD	will
admit	VB	admit
few	JJ	few
lines	NNS	line
friends	NNS	friend
caf	NN	<unknown>
smile	VBP	smile
little	JJ	little
bit	NN	bit
but	CC	but
come	VBP	come
least	JJS	least
decent	JJ	decent
actors	NNS	actor
while	IN	while
acting	VBG	act
bad	JJ	bad
is	VBZ	be
n't	RB	n't
going	VBG	go
painfully	RB	painfully
slow	JJ	slow
pace	NN	pace
actually	RB	actually
interesting	JJ	interesting
gut	JJ	gut
few	JJ	few
laughs	NNS	laugh
they	PP	they
're	VBP	be
under	IN	under
doing	VBG	do
lines	NNS	line
but	CC	but
much	JJ	much
crying	VBG	cry
scenes	NNS	scene
looked	VBN	look
like	IN	like
actors	NNS	actor
having	VBG	have
hysterical	JJ	hysterical
fits	NNS	fit
laughter	NN	laughter
no	DT	no
delivery	NN	delivery
lines	NNS	line
amateur	NN	amateur
does	VBZ	do
n't	RB	n't
come	VB	come
close	JJ	close
acting	JJ	acting
film	NN	film
came	VBD	come
saying	VBG	say
film	NN	film
good	RB	good
really	RB	really
good	JJ	good
drugs	NNS	drug
while	IN	while
watching	VBG	watch
it	PP	it
's	POS	's
most	RBS	most
pointless	JJ	pointless
thing	NN	thing
i	NNS	i
've	VBP	have
displeasure	NN	displeasure
watching	VBG	watch
not	RB	not
watch	VB	watch
buy	VB	buy
