what	WP	what
's	VBZ	be
inexplicable	JJ	inexplicable
firstly	RB	firstly
hatred	NN	hatred
not	RB	not
greatest	JJ	greatest
all	DT	all
time	NN	time
but	CC	but
gimme	VB	gimme
break	NN	break
got	VBD	get
11	CD	@card@
oscars	NNS	oscar
reason	NN	reason
eighteen	CD	eighteen
million	CD	million
dollars	NNS	dollar
reason	VBP	reason
it	PP	it
's	VBZ	be
damn	RB	damn
good	JJ	good
brings	VBZ	bring
inexplicable	JJ	inexplicable
aspect	NN	aspect
no	DT	no
idea	NN	idea
whatsoever	RB	whatsoever
left	VBD	leave
impression	NN	impression
saw	VBD	see
theaters	NNS	theater
i	NNS	i
've	VBP	have
rewatched	VBN	<unknown>
tv	NN	tv
video	NN	video
none	NN	none
impact	NN	impact
saw	VBD	see
big	JJ	big
screen	NN	screen
twice	RB	twice
maybe	RB	maybe
times	NNS	time
actually	RB	actually
but	CC	but
appeal	VB	appeal
it	PP	it
's	VBZ	be
yes	RB	yes
capital	JJ	capital
m	NN	m
it	PP	it
's	VBZ	be
epic	NN	epic
it	PP	it
's	VBZ	be
spectacle	NN	spectacle
order	NN	order
gone	VBN	go
wind	NN	wind
ben	NN	ben
hur	NN	<unknown>
ben	NN	ben
hur	NN	<unknown>
gone	VBN	go
wind	NN	wind
kinda	RB	kinda
hokey	NN	hokey
hammy	JJ	hammy
acting	VBG	act
excessive	JJ	excessive
melodrama	NN	melodrama
not	RB	not
titanic	JJ	titanic
none	NN	none
well	RB	well
acting	VBG	act
actually	RB	actually
very	RB	very
good	JJ	good
melodrama	NN	melodrama
quite	RB	quite
heavy	JJ	heavy
handed	VBN	hand
times	NNS	time
but	CC	but
reason	NN	reason
titanic	JJ	titanic
works	VBZ	work
it	PP	it
's	VBZ	be
emotional	JJ	emotional
ride	NN	ride
usually	RB	usually
enjoy	VBP	enjoy
stimulate	VB	stimulate
mind	NN	mind
visual	JJ	visual
thrill	NN	thrill
is	VBZ	be
n't	RB	n't
exactly	RB	exactly
dumb	JJ	dumb
but	CC	but
it	PP	it
's	VBZ	be
not	RB	not
cerebral	JJ	cerebral
all	DT	all
visual	JJ	visual
thrills	NNS	thrill
simply	RB	simply
means	VBZ	mean
end	NN	end
fuel	NN	fuel
emotions	NNS	emotion
audience	NN	audience
did	VBD	do
n't	RB	n't
bambi	NP	Bambi
's	POS	's
mom	NN	mom
died	VBD	die
do	VB	do
n't	RB	n't
react	VB	react
tearjerkers	NNS	tearjerker
but	CC	but
tearjerker	NN	tearjerker
power	NN	power
million	CD	million
emotional	JJ	emotional
rollercoaster	NN	rollercoaster
regular	JJ	regular
make	VBP	make
buzz	JJ	buzz
aldrin	NN	aldrin
scream	NN	scream
like	IN	like
little	JJ	little
girl	NN	girl
i	NNS	i
'm	VBP	be
sure	JJ	sure
video	NN	video
decided	VBD	decide
hate	VB	hate
ready	JJ	ready
supply	NN	supply
cynicism	NN	cynicism
thoroughly	RB	thoroughly
dislike	VB	dislike
but	CC	but
let	VB	let
disbelief	NN	disbelief
suspend	VB	suspend
just	RB	just
bit	NN	bit
epic	NN	epic
melodrama	NN	melodrama
benefit	NN	benefit
doubt	VBP	doubt
you	PP	you
'll	MD	will
enjoy	VB	enjoy
completely	RB	completely
look	VB	look
top	JJ	top
grossing	VBG	gross
films	NNS	film
all	DT	all
time	NN	time
single	JJ	single
bad	JJ	bad
single	JJ	single
worth	JJ	worth
score	NN	score
1	CD	1
10	CD	@card@
no	DT	no
not	RB	not
phantom	JJ	phantom
menace	NN	menace
1	CD	1
8	CD	8
billion	CD	billion
dollars	NNS	dollar
worldwide	RB	worldwide
ca	MD	ca
n't	RB	n't
bad	RB	bad
not	RB	not
possible	JJ	possible
10	CD	@card@
10	CD	@card@
p	NN	p
s	NNS	<unknown>
consider	VBP	consider
comparing	VBG	compare
spiderman	NN	spiderman
spiderman	NN	spiderman
fun	NN	fun
but	CC	but
total	JJ	total
9	CD	9
11	CD	@card@
kneejerk	NN	<unknown>
caused	VBD	cause
gross	JJ	gross
as	IN	as
much	RB	much
as	RB	as
did	VBD	do
simply	RB	simply
was	VBD	be
n't	RB	n't
all	RB	all
special	JJ	special
no	RB	no
remember	VBP	remember
50	CD	@card@
years	NNS	year
but	CC	but
i	NNS	i
'm	VBP	be
pretty	RB	pretty
sure	JJ	sure
titanic	JJ	titanic
remembered	VBN	remember
