i	NP	i
given	VBN	give
book	NN	book
version	NN	version
kazaam	NN	<unknown>
8th	JJ	8th
birthday	NN	birthday
people	NNS	people
always	RB	always
say	VBP	say
book	NN	book
versions	NNS	version
always	RB	always
better	JJR	good
than	IN	than
but	CC	but
time	NN	time
wrong	JJ	wrong
least	JJS	least
it	PP	it
's	VBZ	be
soon	RB	soon
acting	VBG	act
terrible	JJ	terrible
expected	VBN	expect
film	NN	film
shaq	NN	<unknown>
plays	VBZ	play
magical	JJ	magical
rapping	VBG	rap
genie	NN	genie
comes	VBZ	come
old	JJ	old
ghetto	NN	ghetto
blaster	NN	<unknown>
probably	RB	probably
good	JJ	good
reason	NN	reason
trapped	VBN	trap
kid	NN	kid
film	NN	film
plays	VBZ	play
max	NN	<unknown>
whiny	JJ	whiny
terrible	JJ	terrible
actor	NN	actor
he	PP	he
's	VBZ	have
bullied	VBN	bully
neighborhood	NN	neighborhood
kids	NNS	kid
do	VBP	do
n't	RB	n't
blame	VB	blame
he	PP	he
's	POS	's
little	JJ	little
douche	NN	douche
bag	NN	bag
story	NN	story
just	RB	just
plain	RB	plain
stupid	JJ	stupid
extremely	RB	extremely
clich	JJ	<unknown>
boy	NN	boy
who	WP	who
's	VBZ	be
father	NN	father
always	RB	always
working	VBG	work
never	RB	never
finds	VBZ	find
new	JJ	new
friend	NN	friend
makes	VBZ	make
life	NN	life
better	RBR	well
eventually	RB	eventually
helps	VBZ	help
reconnect	VB	reconnect
father	NN	father
8	CD	8
years	NNS	year
old	JJ	old
thought	VBD	think
stupid	JJ	stupid
idea	NN	idea
it	PP	it
's	VBZ	be
surprise	RB	surprise
any	DT	any
people	NNS	people
worked	VBD	work
film	NN	film
careers	NNS	career
wards	VBZ	ward
it	PP	it
's	VBZ	be
embarrassment	NN	embarrassment
never	RB	never
ramble	NN	ramble
more	RBR	more
sucks	VBZ	suck
but	RB	but
know	VB	know
just	RB	just
reading	VBG	read
plot	NN	plot
