this	DT	this
best	RBS	well
described	VBN	describe
compare	VBP	compare
"	``	"
big	JJ	big
fish	NN	fish
"	''	"
tim	NN	<unknown>
burton	NN	burton
but	CC	but
it	PP	it
's	VBZ	be
less	JJR	less
glamorous	JJ	glamorous
more	JJR	more
face	NN	face
tale	NN	tale
course	NN	course
it	PP	it
's	VBZ	be
not	RB	not
father	NN	father
but	CC	but
grandfather	NN	grandfather
tells	VBZ	tell
stories	NNS	storey
movie	NN	movie
's	POS	's
narrative	JJ	narrative
moves	NNS	move
forth	IN	forth
story	NN	story
outline	NN	outline
imdb	NN	<unknown>
tell	VBP	tell
more	JJR	more
than	IN	than
like	IN	like
read	VBN	read
watching	VBG	watch
it	PP	it
's	POS	's
funny	JJ	funny
engaging	JJ	engaging
enough	NN	enough
though	IN	though
story	NN	story
dramatic	JJ	dramatic
moments	NNS	moment
too	RB	too
surprises	VBZ	surprise
things	NNS	thing
would	MD	would
n't	RB	n't
expect	VB	expect
nice	JJ	nice
little	JJ	little
deserves	VBZ	deserve
attention	NN	attention
especially	RB	especially
like	IN	like
like	IN	like
happy	JJ	happy
