i	NP	i
loved	VBD	love
film	NN	film
not	RB	not
swooning	VBG	swoon
ed	VBN	edited
wood	NN	wood
jr	NN	<unknown>
fan	NN	fan
prefer	VBP	prefer
appreciate	VB	appreciate
"	``	"
boundless	JJ	boundless
enthusiasm	NN	enthusiasm
"	''	"
acknowledge	VBP	acknowledge
shortcomings	NNS	shortcoming
fun	NN	fun
but	CC	but
personal	JJ	personal
story	NN	story
racked	VBD	rack
pain	NN	pain
hoped	VBD	hope
delighted	JJ	delighted
film	NN	film
understanding	VBG	understand
turbulent	JJ	turbulent
life	NN	life
than	IN	than
simply	RB	simply
heaping	VBG	heap
posthumous	JJ	posthumous
praise	NN	praise
beginning	VBG	begin
end	NN	end
film	NN	film
evolves	VBZ	evolve
documentary	JJ	documentary
mythology	NN	mythology
leaving	VBG	leave
cast	NN	cast
viewer	NN	viewer
unexpectedly	RB	unexpectedly
connected	VBN	connect
to	TO	to
ed	VBN	edited
wood	NN	wood
jr	NN	<unknown>
people	NNS	people
knew	VBD	know
ed	NN	editor
wood	NN	wood
best	JJS	good
talking	VBG	talk
all	DT	all
perspectives	NNS	perspective
positive	JJ	positive
negative	JJ	negative
showing	NN	showing
character	NN	character
as	RB	as
much	RB	much
as	IN	as
ed	NN	editor
's	POS	's
insight	NN	insight
ed	NN	editor
's	POS	's
personal	JJ	personal
professional	JJ	professional
life	NN	life
romances	NNS	romance
drinking	VBG	drink
sexuality	NN	sexuality
friends	NNS	friend
enemies	NNS	enemy
film	NN	film
making	VBG	make
film	NN	film
itself	PP	itself
shot	VBD	shoot
low	JJ	low
budget	NN	budget
way	NN	way
respect	NN	respect
ed	VBN	edited
as	IN	as
using	VBG	use
techniques	NNS	technique
most	RBS	most
theatrically	RB	theatrically
released	VBN	release
1996	CD	@card@
disrespectful	JJ	disrespectful
sort	NN	sort
like	IN	like
wearing	VBG	wear
nicer	JJR	nice
suit	NN	suit
than	IN	than
president	NN	president
set	NN	set
designer	NN	designer
uses	VBZ	use
sense	NN	sense
humor	NN	humor
great	JJ	great
deal	NN	deal
insight	NN	insight
matching	VBG	match
cast	NN	cast
member	NN	member
background	NN	background
fans	NNS	fan
excited	VBN	excite
hear	VBP	hear
personal	JJ	personal
testimony	NN	testimony
regarding	VBG	regard
ed	VBN	edited
wood	NN	wood
controversies	NNS	controversy
new	JJ	new
comers	NNS	comer
amazed	JJ	amazed
man	NN	man
real	JJ	real
dvd	NN	<unknown>
full	JJ	full
impossible	JJ	impossible
gems	NNS	gem
"	''	"
crossroads	NN	crossroads
lorado	NN	<unknown>
"	''	"
photo	NN	photo
galleries	NNS	gallery
but	CC	but
real	JJ	real
treasure	NN	treasure
film	NN	film
surprisingly	RB	surprisingly
engaging	VBG	engage
interconnected	VBN	interconnect
story	NN	story
ed	NN	editor
wood	NN	wood
habit	NN	habit
defining	VBG	define
people	NNS	people
association	NN	association
better	VBP	better
worse	JJR	bad
point	NN	point
woman	NN	woman
history	NN	history
as	IN	as
"	``	"
swimming	VBG	swim
pool	NN	pool
owner	NN	owner
"	''	"
letting	VBG	let
friends	NNS	friend
baptized	VBD	baptize
pool	NN	pool
ability	NN	ability
define	VB	define
person	NN	person
's	POS	's
legacy	NN	legacy
comes	VBZ	come
universally	RB	universally
as	IN	as
most	JJS	most
amazing	JJ	amazing
effect	NN	effect
film	NN	film
not	RB	not
well	RB	well
rounded	JJ	rounded
idea	NN	idea
man	NN	man
ed	NN	editor
wood	NN	wood
jr	NN	<unknown>
but	CC	but
comprehensive	JJ	comprehensive
view	NN	view
community	NN	community
created	VBD	create
having	VBG	have
more	JJR	more
cast	NN	cast
member	NN	member
interviewed	VBD	interview
screen	NN	screen
time	NN	time
connection	NN	connection
ed	NN	editor
wood	NN	wood
created	VBD	create
various	JJ	various
people	NNS	people
life	NN	life
clear	JJ	clear
viewer	NN	viewer
left	VBD	leave
great	JJ	great
sense	NN	sense
involvement	NN	involvement
title	NN	title
hints	VBZ	hint
b	NN	b
list	NN	list
horror	NN	horror
genre	NN	genre
but	CC	but
end	NN	end
kindness	NN	kindness
begins	VBZ	begin
as	IN	as
unrelated	JJ	unrelated
stories	NNS	storey
random	JJ	random
people	NNS	people
ends	VBZ	end
conclusion	NN	conclusion
all	DT	all
cast	NN	cast
forever	RB	forever
weaved	VBD	weave
unpredictably	RB	unpredictably
cohesive	JJ	cohesive
fabric	NN	fabric
history	NN	history
bring	VB	bring
haunting	VBG	haunt
unity	NN	unity
wood	NN	wood
's	POS	's
legend	NN	legend
many	JJ	many
ways	NNS	way
living	VBG	live
contradiction	NN	contradiction
ed	NN	editor
wood	NN	wood
jr	NN	<unknown>
not	RB	not
condensed	VBD	condense
single	JJ	single
viewpoint	NN	viewpoint
collaborative	JJ	collaborative
effort	NN	effort
closest	JJS	close
knowing	VBG	know
itself	PP	itself
juxtaposition	NN	juxtaposition
themes	NNS	theme
respectful	JJ	respectful
provocative	JJ	provocative
thoughtful	JJ	thoughtful
gripping	JJ	gripping
fun	NN	fun
sad	JJ	sad
kind	NN	kind
fulfilling	VBG	fulfill
