my	PP$	my
brother	NN	brother
avid	JJ	avid
dvd	NN	<unknown>
collector	NN	collector
took	VBD	take
look	VB	look
cover	NN	cover
models	NNS	model
toilets	NNS	toilet
add	VBP	add
collection	NN	collection
stayed	VBD	stay
up	RB	up
watch	VB	watch
turned	VBN	turn
likely	RB	likely
most	RBS	most
cringeable	JJ	<unknown>
use	NN	use
term	NN	term
loosely	RB	loosely
i	NP	i
've	VBP	have
felt	VBN	feel
obligated	JJ	obligated
sit	NN	sit
dared	VBD	dare
not	RB	not
make	VB	make
eye	NN	eye
contact	NN	contact
brother	NN	brother
quite	RB	quite
certain	JJ	certain
cursing	VBG	curse
receipt	NN	receipt
clenched	VBD	clench
fist	RB	fist
biggest	JJS	big
whole	JJ	whole
michael	NP	Michael
clark	NN	<unknown>
duncan	NN	<unknown>
appears	VBZ	appear
scene	NN	scene
"	``	"
filmmaker	NP	filmmaker
"	''	"
decided	VBD	decide
total	JJ	total
fact	NN	fact
whole	NN	whole
pretty	RB	pretty
much	RB	much
follows	VBZ	follow
suit	NN	suit
fact	NN	fact
dvd	NNS	<unknown>
contained	VBD	contain
deleted	VBN	delete
footage	NN	footage
shock	NN	shock
went	VBD	go
bed	NN	bed
viewing	VBG	view
however	RB	however
no	RB	no
surprise	VB	surprise
all	DT	all
disc	NN	disc
case	NN	case
tv	NN	tv
week	NN	week
later	RBR	later
