to	TO	to
say	VB	say
deserves	VBZ	deserve
unflaunting	NN	<unknown>
grace	NN	grace
showed	VBD	show
disagree	VB	disagree
amazing	JJ	amazing
documentary	JJ	documentary
shocking	JJ	shocking
day	NN	day
imdb	NN	<unknown>
asks	VBZ	ask
rate	NN	rate
beg	NN	beg
consider	VBP	consider
fact	NN	fact
documentary	NN	documentary
courage	NN	courage
took	VBD	take
shoot	NN	shoot
film	NN	film
most	JJS	most
notable	JJ	notable
brothers	NNS	brother
split	VBD	split
up	RP	up
moment	NN	moment
happened	VBD	happen
continue	VB	continue
document	VB	document
bravest	JJS	brave
brave	JJ	brave
knowing	VBG	know
eachother	NN	<unknown>
's	POS	's
safety	NN	safety
judge	NN	judge
it	PP	it
's	VBZ	be
nobler	JJR	noble
shoot	NN	shoot
video	NN	video
tragedy	NN	tragedy
save	IN	save
lives	NNS	life
as	IN	as
amazing	JJ	amazing
amazing	JJ	amazing
firefighters	NNS	firefighter
did	VBD	do
not	RB	not
answer	VB	answer
just	RB	just
know	VB	know
30	CD	@card@
years	NNS	year
class	NN	class
full	JJ	full
children	NNS	child
not	RB	not
know	VBP	know
submit	VB	submit
wholehearted	JJ	wholehearted
10	CD	@card@
art	NN	art
filming	VBG	film
created	VBN	create
capture	NN	capture
natural	JJ	natural
emotion	NN	emotion
real	JJ	real
life	NN	life
offers	VBZ	offer
kung	NP	kung
fu	NP	fu
junk	NN	junk
romance	NN	romance
cute	JJ	cute
action	NN	action
never	RB	never
reach	VB	reach
level	NN	level
9	CD	9
11	CD	@card@
timeless	JJ	timeless
did	VBD	do
not	RB	not
glorify	VB	glorify
itself	PP	itself
did	VBD	do
n't	RB	n't
sneak	NN	sneak
peek	NN	peek
did	VBD	do
n't	RB	n't
all	DT	all
blatant	JJ	blatant
vanities	NNS	vanity
lion	NN	lion
's	POS	's
share	NN	share
many	JJ	many
many	JJ	many
screens	NNS	screen
blare	VBP	blare
class	NN	class
composure	NN	composure
substance	NN	substance
record	NN	record
day	NN	day
changed	VBD	change
modern	JJ	modern
face	NN	face
america	NN	<unknown>
world	NN	world
spoke	VBD	speak
things	NNS	thing
inescapable	JJ	inescapable
eye	NN	eye
camera	NN	camera
consider	VBP	consider
as	IN	as
itself	PP	itself
proclaims	VBZ	proclaim
stirring	VBG	stir
tribute	NN	tribute
all	RB	all
fell	VBD	fall
free	JJ	free
beautiful	JJ	beautiful
america	NN	<unknown>
less	CC	less
shows	NNS	show
not	RB	not
embellishes	VBZ	embellish
natural	JJ	natural
bravery	NN	bravery
real	JJ	real
people	NNS	people
acting	VBG	act
unreal	JJ	unreal
times	NNS	time
love	VBP	love
"	``	"
the	DT	the
godfather	NN	godfather
"	''	"
but	CC	but
"	``	"
9	CD	9
11	CD	@card@
"	``	"
forever	RB	forever
different	JJ	different
kind	NN	kind
as	IN	as
different	JJ	different
kind	NN	kind
world	NN	world
art	NN	art
question	NN	question
questions	NNS	question
jf	NN	<unknown>
