this	DT	this
really	RB	really
good	JJ	good
plot	NN	plot
works	NNS	work
like	IN	like
puzzle	NN	puzzle
forces	NNS	force
viewer	NN	viewer
think	VBP	think
guess	VBP	guess
happen	VB	happen
trick	NN	trick
brings	VBZ	bring
lot	NN	lot
surprises	NNS	surprise
makes	VBZ	make
viewer	NN	viewer
really	RB	really
looking	VBG	look
forward	JJ	forward
solution	NN	solution
riddle	NN	riddle
fighting	VBG	fight
scenes	NNS	scene
very	RB	very
good	RB	good
there	EX	there
's	VBZ	be
lot	NN	lot
different	JJ	different
combat	NN	combat
styles	NNS	style
although	IN	although
styles	NNS	style
bit	NN	bit
unreal	JJ	unreal
but	CC	but
it	PP	it
's	POS	's
opinion	NN	opinion
watch	VBP	watch
it	PP	it
's	VBZ	be
fascinating	JJ	fascinating
thing	NN	thing
irritating	VBG	irritate
actors	NNS	actor
look	VBP	look
bit	NN	bit
too	RB	too
effeminate	JJ	effeminate
least	JJS	least
hong	NN	hong
kong	VBZ	<unknown>
always	RB	always
good	JJ	good
kung	NP	kung
fu	NP	fu
especially	RB	especially
70	CD	@card@
's	VBZ	be
80	CD	@card@
's	VBZ	be
"	``	"
five	CD	five
venoms	NNS	venom
"	''	"
versions	NNS	version
great	JJ	great
choice	NN	choice
