what	WP	what
hell	NN	hell
d	SYM	d
bad	JJ	bad
acting	JJ	acting
bad	JJ	bad
special	JJ	special
effects	NNS	effect
worst	JJS	bad
dialogues	NNS	dialogue
storyline	NN	storyline
came	VBD	come
cool	JJ	cool
thing	NN	thing
coolio	NN	<unknown>
nice	JJ	nice
cameo	NN	cameo
as	IN	as
freaked	VBN	freak
cop	NN	cop
however	RB	however
rest	NN	rest
film	NN	film
awful	JJ	awful
boring	NN	boring
it	PP	it
's	VBZ	be
not	RB	not
bad	JJ	bad
laugh	NN	laugh
just	RB	just
plain	JJ	plain
crap	NN	crap
compares	VBZ	compare
evil	JJ	evil
dead	JJ	dead
series	NN	series
as	RB	as
well	RB	well
compare	VB	compare
tomb	NN	tomb
raider	NN	raider
indiana	NN	<unknown>
jones	NNS	<unknown>
well	RB	well
ok	VBP	ok
least	JJS	least
angelina	NN	<unknown>
jolie	NN	<unknown>
tomb	NN	tomb
raider	NN	raider
1	CD	1
10	CD	@card@
