i	NP	i
borrowed	VBD	borrow
despite	IN	despite
extremely	RB	extremely
low	JJ	low
rating	NN	rating
wanted	VBD	want
crew	NN	crew
manages	VBZ	manage
animate	JJ	animate
presence	NN	presence
multiple	NN	multiple
worlds	NNS	world
as	IN	as
matter	NN	matter
fact	NN	fact
did	VBD	do
n't	RB	n't
least	JJS	least
cameo	NN	cameo
appearance	NN	appearance
cut	VBD	cut
clumsily	RB	clumsily
that	DT	that
's	VBZ	be
majority	NN	majority
viewers	NNS	viewer
think	VBP	think
however	RB	however
surprise	RB	surprise
comes	VBZ	come
end	NN	end
unfortunately	RB	unfortunately
probably	RB	probably
most	JJS	most
viewers	NNS	viewer
stopped	VBD	stop
astonished	VBN	astonish
saw	NN	saw
brazilian	NN	Brazilian
portuguese	NN	Portuguese
title	NN	title
means	VBZ	mean
"	``	"
voyage	NN	voyage
death	NN	death
"	''	"
spoiler	NN	spoiler
young	JJ	young
girl	NN	girl
goes	VBZ	go
boat	NN	boat
reasons	NNS	reason
completely	RB	completely
unclear	JJ	unclear
understand	VBP	understand
5	CD	5
minutes	NNS	minute
start	VBP	start
english	JJ	English
title	NN	title
"	''	"
haunted	VBN	haunt
boat	NN	boat
"	``	"
head	VBP	head
clearly	RB	clearly
think	VB	think
cameo	NN	cameo
appearances	NNS	appearance
strange	JJ	strange
figures	NNS	figure
"	``	"
ghosts	NNS	ghost
"	''	"
but	CC	but
reality	NN	reality
not	RB	not
like	IN	like
most	JJS	most
horror	NN	horror
told	VBD	tell
distant	JJ	distant
writer	NN	writer
watcher	NN	watcher
perspective	NN	perspective
almost	RB	almost
any	DT	any
time	NN	time
differentiate	VB	differentiate
different	JJ	different
levels	NNS	level
reality	NN	reality
told	VBD	tell
perspective	NN	perspective
young	JJ	young
girl	NN	girl
not	RB	not
but	CC	but
friends	NNS	friend
sees	VBZ	see
not	RB	not
parallel	VB	parallel
worlds	NNS	world
not	RB	not
cameo	NN	cameo
appearances	NNS	appearance
flickering	VBG	flicker
picture	NN	picture
stream	NN	stream
but	CC	but
main	JJ	main
story	NN	story
least	JJS	least
parallel	JJ	parallel
worlds	NNS	world
world	NN	world
girl	NN	girl
world	NN	world
4	CD	4
friends	NNS	friend
intrusion	NN	intrusion
world	NN	world
probably	RB	probably
young	JJ	young
man	NN	man
medical	JJ	medical
skills	NNS	skill
comes	VBZ	come
short	JJ	short
time	NN	time
boat	NN	boat
cannot	MD	can
rid	VB	rid
deep	JJ	deep
conviction	NN	conviction
makers	NNS	maker
"	``	"
cheated	JJ	cheated
"	''	"
audience	NN	audience
thousand	CD	thousand
people	NNS	people
letting	VBG	let
believe	VBP	believe
more	JJR	more
less	CC	less
sophomore	NN	sophomore
film	NN	film
student	NN	student
elaborate	VB	elaborate
hastily	RB	hastily
"	``	"
chosen	VBN	choose
"	''	"
pseudo	JJ	pseudo
actors	NNS	actor
met	VBD	meet
just	RB	just
night	NN	night
start	NN	start
shooting	NN	shooting
dump	VBP	dump
least	JJS	least
beers	NNS	beer
mistaken	JJ	mistaken
but	CC	but
addition	NN	addition
big	JJ	big
surprise	NN	surprise
learns	VBZ	learn
very	JJ	very
minutes	NNS	minute
end	NN	end
follows	VBZ	follow
gives	VBZ	give
surprise	NN	surprise
girl	NN	girl
saved	VBD	save
crew	NN	crew
helicopter	NN	helicopter
boat	NN	boat
recovered	VBD	recover
shock	NN	shock
visits	NNS	visit
again	RB	again
place	VBP	place
harbor	NN	harbor
ascended	VBD	ascend
boat	NN	boat
friends	NNS	friend
again	RB	again
wave	NN	wave
boat	NN	boat
taken	VBN	take
shore	NN	shore
jumps	NNS	jump
water	NN	water
arrives	VBZ	arrive
boat	NN	boat
away	RB	away
miraculously	RB	miraculously
beautiful	JJ	beautiful
remembers	VBZ	remember
bit	NN	bit
end	NN	end
poem	NN	poem
rhetoromance	NN	<unknown>
writer	NN	writer
awoke	VBD	awake
saw	NN	saw
death	NN	death
standing	VBG	stand
bed	NN	bed
but	CC	but
closed	JJ	closed
eyes	NNS	eye
opened	VBD	open
again	RB	again
gone	VBN	go
