when	WRB	when
watched	VBN	watch
robotboy	NN	<unknown>
fresh	JJ	fresh
interesting	JJ	interesting
but	CC	but
noticed	JJ	noticed
episode	NN	episode
trying	VBG	try
teach	VB	teach
behave	VB	behave
good	JJ	good
bad	JJ	bad
episodes	NNS	episode
predictable	JJ	predictable
main	JJ	main
characters	NNS	character
not	RB	not
interesting	JJ	interesting
again	RB	again
hyper	NN	hyper
smart	JJ	smart
boy	NN	boy
beaten	VBN	beat
older	JJR	old
brother	NN	brother
parents	NNS	parent
do	VBP	do
n't	RB	n't
understand	VB	understand
kid	NN	kid
friends	NNS	friend
girl	NN	girl
fat	JJ	fat
boy	NN	boy
no	DT	no
logic	NN	logic
super	JJ	super
modern	JJ	modern
robot	NN	robot
works	VBZ	work
aa	NN	aa
size	NN	size
batteries	NNS	battery
use	VBP	use
lot	NN	lot
weapons	NNS	weapon
but	CC	but
biggest	JJS	big
problem	NN	problem
difference	NN	difference
activated	VBD	activate
super	JJ	super
activated	VBN	activate
modes	NNS	mode
different	JJ	different
robots	NNS	robot
declines	VBZ	decline
main	JJ	main
idea	NN	idea
"	''	"
robot	NN	robot
learn	VBP	learn
behave	VB	behave
himself	PP	himself
human	JJ	human
society	NN	society
"	''	"
