i	NP	i
reservations	NNS	reservation
figured	VBD	figure
usual	JJ	usual
fare	NN	fare
formula	NN	formula
christmas	NNS	<unknown>
middle	JJ	middle
heat	NN	heat
wave	NN	wave
late	JJ	late
june	NN	June
decided	VBN	decide
shot	VBD	shoot
maybe	RB	maybe
snow	VB	snow
turned	VBN	turn
laugh	NN	laugh
ben	NN	ben
affleck	NN	<unknown>
believable	JJ	believable
character	NN	character
but	CC	but
real	JJ	real
star	NN	star
james	NNS	<unknown>
gandofini	NNS	<unknown>
delivered	VBD	deliver
lines	NNS	line
real	RB	real
wit	VBP	wit
great	JJ	great
"	``	"
dad	NN	dad
"	''	"
want	VBP	want
enjoyable	JJ	enjoyable
couple	NN	couple
hours	NNS	hour
definitely	RB	definitely
check	VBP	check
