this	DT	this
film	NN	film
deals	VBZ	deal
atrocity	NN	atrocity
derry	NN	derry
30	CD	@card@
years	NNS	year
ago	RB	ago
commonly	RB	commonly
known	VBN	know
as	IN	as
bloody	JJ	bloody
sunday	NN	Sunday
film	NN	film
well	RB	well
researched	VBN	research
acted	VBD	act
directed	VBN	direct
as	IN	as
close	JJ	close
truth	NN	truth
as	IN	as
outcome	NN	outcome
saville	NN	<unknown>
enquiry	NN	enquiry
film	NN	film
puts	VBZ	put
atrocity	NN	atrocity
context	NN	context
time	NN	time
shows	VBZ	show
savagery	NN	savagery
soldiers	NNS	soldier
day	NN	day
atrocity	NN	atrocity
disgraceful	JJ	disgraceful
white	JJ	white
wash	NN	wash
widgery	NN	<unknown>
tribunal	NN	tribunal
dealt	VBD	deal
overall	JJ	overall
excellent	JJ	excellent
drama	NN	drama
moving	VBG	move
shocking	JJ	shocking
saville	NN	<unknown>
report	NN	report
comes	VBZ	come
watch	NN	watch
film	NN	film
again	RB	again
close	JJ	close
truth	NN	truth
