this	DT	this
love	NN	love
website	NN	website
saw	VBD	see
film	NN	film
1980	NP	@card@
's	POS	's
british	JJ	British
television	NN	television
years	NNS	year
wished	VBN	wish
knew	VBD	know
more	RBR	more
as	IN	as
stayed	VBD	stay
as	RB	as
single	VB	single
most	RBS	most
extraordinary	JJ	extraordinary
things	NNS	thing
seen	VBN	see
life	NN	life
barely	RB	barely
few	JJ	few
key	JJ	key
words	NNS	word
remember	VBP	remember
traced	VBN	trace
film	NN	film
much	JJ	much
information	NN	information
including	VBG	include
fact	NN	fact
it	PP	it
's	VBZ	be
broadway	RB	<unknown>
musical	JJ	musical
interestingly	RB	interestingly
unlike	IN	unlike
previous	JJ	previous
comment	NN	comment
maker	NN	maker
not	RB	not
remember	VB	remember
finding	VBG	find
film	NN	film
sad	JJ	sad
exploitative	JJ	exploitative
contrary	JJ	contrary
extraordinary	JJ	extraordinary
relationship	NN	relationship
mother	NN	mother
daughter	NN	daughter
stuck	VBD	stick
mind	NN	mind
as	IN	as
testimony	NN	testimony
great	JJ	great
strength	NN	strength
honour	NN	honour
dignity	NN	dignity
ironic	JJ	ironic
think	VBP	think
considering	VBG	consider
squalor	NN	squalor
lives	NNS	life
maybe	RB	maybe
it	PP	it
's	VBZ	be
live	JJ	live
britain	NN	<unknown>
fading	NN	fading
grandeur	NN	grandeur
established	VBN	establish
language	NN	language
lives	VBZ	live
old	JJ	old
money	NN	money
squalor	NN	squalor
often	RB	often
tolerated	VBN	tolerate
as	IN	as
evidence	NN	evidence
good	JJ	good
breeding	NN	breeding
saw	VBD	see
as	IN	as
rare	JJ	rare
unique	JJ	unique
portrayal	NN	portrayal
enormous	JJ	enormous
spirit	NN	spirit
deep	JJ	deep
profound	JJ	profound
humour	NN	humour
utterly	RB	utterly
fragile	JJ	fragile
delicately	RB	delicately
balanced	JJ	balanced
fabric	NN	fabric
gave	VBD	give
poise	NN	poise
respect	NN	respect
way	NN	way
sorry	RB	sorry
discussed	VBN	discuss
as	RB	as
'	''	'
cult	NN	cult
'	POS	'
years	NNS	year
as	IN	as
faded	VBN	fade
mind	NN	mind
shone	VBN	shine
brightest	JJS	bright
all	RB	all
as	IN	as
brilliant	JJ	brilliant
outstanding	JJ	outstanding
televisual	JJ	<unknown>
experience	NN	experience
deeply	RB	deeply
private	JJ	private
expose	VBP	expose
odd	JJ	odd
think	VBP	think
public	JJ	public
as	IN	as
new	JJ	new
york	VBP	york
musical	JJ	musical
but	CC	but
daughter	NN	daughter
amused	JJ	amused
outcome	NN	outcome
laugh	NN	laugh
maybe	RB	maybe
musical	JJ	musical
jackie	NN	<unknown>
o	NN	o
'	POS	'
